"age1","age2","age3","minAIC","AIC"
-76.4068045369781,-75.3947096160319,-73.4102917970115,-76.4068045369781,1
-149.490326942534,-149.508260780178,-149.40088420175,-149.508260780178,2
-187.253586191327,-185.436873220789,-183.496153881961,-187.253586191327,1
-166.619481158419,-166.877861795927,-167.629961485277,-167.629961485277,3
-185.594178469605,-183.697833836151,-184.784600423219,-185.594178469605,1
-175.110279733864,-174.019862761474,-175.291337889352,-175.291337889352,3
-228.170869959452,-227.451240951064,-225.477187276241,-228.170869959452,1
-63.1012921308301,-61.8223152470041,-59.8256482004293,-63.1012921308301,1
-98.8696297788373,-97.1859235261504,-95.5926333612507,-98.8696297788373,1
-159.06942579204,-163.01489662242,-163.740759006373,-163.740759006373,3
-87.4614389296459,-92.3511203660561,-90.8811690998077,-92.3511203660561,2
-103.471946066783,-101.576919225832,-99.830568947867,-103.471946066783,1
-144.553234012444,-145.05903752528,-143.793909593701,-145.05903752528,2
-168.250599680957,-168.808223113418,-170.964926902966,-170.964926902966,3
-157.590309928691,-160.65369412912,-161.306309518528,-161.306309518528,3
-164.535689162927,-162.990174604864,-164.485699394312,-164.535689162927,1
-49.4668357118152,-48.1100943972944,-46.1986403245048,-49.4668357118152,1
-141.327233682662,-140.765414946812,-139.042676225957,-141.327233682662,1
18.0680032900508,17.709888393275,19.065410233767,17.709888393275,2
-158.316493232012,-156.352380240975,-156.532180471015,-158.316493232012,1
-120.515481436684,-126.693759066039,-127.237107516769,-127.237107516769,3
-187.83930371986,-187.450022251168,-185.455322890982,-187.83930371986,1
-151.117937267895,-149.296908199522,-147.297900415631,-151.117937267895,1
-157.812236887759,-156.227079507531,-154.432895016159,-157.812236887759,1
-169.223712735076,-167.356012140717,-165.692193999059,-169.223712735076,1
-183.530107254495,-181.874702253,-180.550230776402,-183.530107254495,1
-131.462843938304,-129.499457857521,-130.43907318272,-131.462843938304,1
-113.981728237457,-113.216208415325,-118.641768369706,-118.641768369706,3
-210.223501120077,-208.744407136646,-207.226393705649,-210.223501120077,1
-128.529086539884,-126.529127448041,-124.746022775197,-128.529086539884,1
-109.02669018803,-107.157601374867,-106.552024796017,-109.02669018803,1
-144.946185599564,-143.03516611654,-141.077126504698,-144.946185599564,1
-163.512197571654,-161.512480977508,-159.514752999585,-163.512197571654,1
-143.70063508748,-141.798038427611,-139.860320216404,-143.70063508748,1
-192.654481685685,-190.75429497034,-188.907916497504,-192.654481685685,1
-206.867947568023,-209.191172658381,-211.38019700233,-211.38019700233,3
-140.797741304397,-139.004555345239,-137.251556381338,-140.797741304397,1
-65.1702746565124,-63.2384516534264,-61.7430787223925,-65.1702746565124,1
-151.548479591159,-150.567117401632,-151.078580781736,-151.548479591159,1
32.4822370838882,34.4789105421654,35.4794860936632,32.4822370838882,1
-140.66839019061,-140.29603777966,-139.45686719607,-140.66839019061,1
-64.8749106451171,-69.2279449276802,-68.2750673793413,-69.2279449276802,2
-139.310727196781,-137.311683403952,-135.40575753059,-139.310727196781,1
-165.243783651918,-165.608767052119,-164.127253584451,-165.608767052119,2
-158.458468858786,-159.842713398277,-160.504479395033,-160.504479395033,3
-81.8890338217847,-80.8878738031933,-79.3410214205915,-81.8890338217847,1
-145.31641873296,-144.431110134982,-143.446112359978,-145.31641873296,1
-126.713942947885,-126.672799415137,-126.334701144776,-126.713942947885,1
-137.213908287822,-136.03875848067,-134.480882268834,-137.213908287822,1
-177.671773796629,-179.602465794148,-178.582413184043,-179.602465794148,2
-132.275399854286,-133.739043769275,-131.833644206888,-133.739043769275,2
-182.966101603792,-181.330896453764,-179.350629706693,-182.966101603792,1
-58.1873751427433,-58.0711529265919,-56.0821152739099,-58.1873751427433,1
-186.624718944095,-189.485643972225,-187.710363790234,-189.485643972225,2
-125.98727160515,-124.00599291724,-122.902460225634,-125.98727160515,1
-53.0667101353754,-51.34429105852,-49.9377608695621,-53.0667101353754,1
-83.1148927032533,-81.3644951738014,-79.371190669826,-83.1148927032533,1
-73.5194504189777,-71.5207886128041,-69.5551671776348,-73.5194504189777,1
15.2090357142468,15.5553823890112,17.3591036908606,15.2090357142468,1
-101.960283040934,-102.113372863511,-101.123478986587,-102.113372863511,2
-136.160990917672,-135.110644223551,-134.323387802337,-136.160990917672,1
-50.2377232340772,-49.2506808663477,-47.3697692657937,-50.2377232340772,1
37.0876806989668,32.6497526424837,34.6184533090353,32.6497526424837,2
-149.89199805159,-152.052685160403,-150.141674153579,-152.052685160403,2
-52.8688566822173,-50.9223311446077,-50.1079257357961,-52.8688566822173,1
-130.715393867341,-128.813530099373,-127.323227870438,-130.715393867341,1
-145.380841209675,-143.757600751585,-141.862687984529,-145.380841209675,1
-140.433807275406,-139.190871504949,-137.631271974174,-140.433807275406,1
12.2973220594321,14.1270911029322,16.0317959519734,12.2973220594321,1
-127.98591132317,-127.588856967834,-126.049923328339,-127.98591132317,1
-111.43306852954,-111.663867554147,-112.088363307656,-112.088363307656,3
-539.181562536338,-549.187151280412,-548.329071461665,-549.187151280412,2
-147.474541085145,-145.860514497012,-144.883120314196,-147.474541085145,1
-141.37087842401,-141.384873308192,-139.600940797242,-141.384873308192,2
-156.052806077382,-154.057430088977,-152.128524436268,-156.052806077382,1
-184.943978515394,-182.973438843847,-181.64033748332,-184.943978515394,1
-133.826854146689,-133.367622330998,-132.353796068643,-133.826854146689,1
-184.677767463166,-183.099603598749,-182.408752445378,-184.677767463166,1
-160.382476530511,-158.427094415951,-156.500061289125,-160.382476530511,1
-199.943310532623,-198.819092309484,-196.839875737011,-199.943310532623,1
-179.352048412151,-177.651580552444,-177.049883890833,-179.352048412151,1
-153.978141807278,-152.002613377189,-150.290876236075,-153.978141807278,1
-166.609080257063,-164.833040601534,-163.580951163352,-166.609080257063,1
-178.328665389081,-176.329117142302,-174.351157794357,-178.328665389081,1
-153.847412753716,-151.875603547545,-152.474985155842,-153.847412753716,1
-186.082714443356,-184.258768308456,-182.804605044313,-186.082714443356,1
-161.380957657018,-159.399749218899,-157.546383321045,-161.380957657018,1
-218.597925981773,-218.281655656351,-216.289571237496,-218.597925981773,1
-179.426815255133,-177.59002787171,-177.142540476552,-179.426815255133,1
