"age1","age2","age3","minAIC","AIC"
-303.180665138268,-317.609604116178,-316.319215168074,-317.609604116178,2
-315.369855307408,-333.45472589623,-331.774224617385,-333.45472589623,2
-307.130696378241,-335.987046980358,-334.780465902652,-335.987046980358,2
-294.145665359613,-311.203393898655,-309.451006347174,-311.203393898655,2
-301.18064254547,-318.964280707334,-317.498260606177,-318.964280707334,2
-278.26941452889,-299.465239709816,-298.477009088902,-299.465239709816,2
-302.294639405321,-321.014474723645,-319.197648601283,-321.014474723645,2
-301.612838826807,-317.681774192223,-317.356511391786,-317.681774192223,2
-346.769928560221,-380.167825858214,-378.244704282371,-380.167825858214,2
-343.408901560865,-367.587421223201,-366.181067558203,-367.587421223201,2
-299.632440643817,-320.665965252608,-318.785443913152,-320.665965252608,2
-241.513303077212,-259.069727270569,-257.793748434817,-259.069727270569,2
-314.786181149523,-324.615804048978,-322.652069371341,-324.615804048978,2
-269.022442656756,-275.324568325194,-274.261640014319,-275.324568325194,2
-328.768367141186,-338.704547754757,-336.822067256455,-338.704547754757,2
-305.646690985558,-333.168518481164,-331.579539219024,-333.168518481164,2
-298.037486721641,-309.530443429207,-307.585896545838,-309.530443429207,2
-268.544585402235,-284.813256140972,-283.371630482836,-284.813256140972,2
-212.664134537807,-232.827656358561,-231.657102079839,-232.827656358561,2
-287.901994394584,-305.889349640518,-304.285660158165,-305.889349640518,2
-240.863095192358,-259.483922383319,-258.757753135302,-259.483922383319,2
-287.077910613,-300.617281385973,-299.866196150765,-300.617281385973,2
-290.559748231601,-313.585626823777,-313.066519769542,-313.585626823777,2
-302.29260816047,-325.593667308694,-324.404349759484,-325.593667308694,2
-321.867306378721,-343.602769397797,-343.917642551373,-343.917642551373,3
-316.984378900563,-344.280901562477,-342.327835455617,-344.280901562477,2
-280.776923872665,-303.137200748498,-301.22019877255,-303.137200748498,2
-273.351015239119,-298.84403315654,-297.214334381228,-298.84403315654,2
-304.558102995291,-326.28411470546,-324.336600469164,-326.28411470546,2
-288.292238713823,-311.917222179458,-310.179796517784,-311.917222179458,2
-349.495938025009,-380.953394898972,-380.091363690892,-380.953394898972,2
-306.440899835802,-326.260142089747,-324.821610293803,-326.260142089747,2
-301.113105507646,-326.049882210837,-324.723385210797,-326.049882210837,2
-281.889862606092,-303.370429189228,-301.370715132701,-303.370429189228,2
-277.403066289708,-292.20200618963,-290.860733640408,-292.20200618963,2
-303.346827173907,-332.193446608413,-330.450368225151,-332.193446608413,2
-305.074455028129,-326.353634699158,-325.915147650799,-326.353634699158,2
-341.512066485786,-357.573089118147,-357.074774020846,-357.573089118147,2
-270.534106362452,-290.131475159034,-288.783495073,-290.131475159034,2
-248.930968269376,-273.086802629441,-271.095893125977,-273.086802629441,2
-245.095521551755,-260.945494182015,-260.544030414827,-260.945494182015,2
