"age1","age2","age3","minAIC","AIC"
-469.168533710632,-470.705869261265,-470.085348609071,-470.705869261265,2
-477.267394708632,-489.823618951814,-490.976674700559,-490.976674700559,3
-488.144010776649,-506.224019256927,-504.378559384141,-506.224019256927,2
-477.525054418462,-492.017566827813,-490.947451096401,-492.017566827813,2
-502.112822525879,-509.843871839698,-510.069964799194,-510.069964799194,3
-450.011758708537,-476.045626164528,-474.583044765436,-476.045626164528,2
-405.730155493149,-411.18429296165,-412.999833917233,-412.999833917233,3
-435.742341656825,-448.728106907909,-449.936081737149,-449.936081737149,3
-403.694815153882,-419.394725735458,-417.924556918707,-419.394725735458,2
-355.480223183991,-373.340240534533,-371.3760916142,-373.340240534533,2
-467.05964231351,-471.507085097895,-469.511539556635,-471.507085097895,2
-523.357565546538,-539.894101132572,-539.94026131779,-539.94026131779,3
-420.389383696729,-422.399931215778,-421.331068015704,-422.399931215778,2
-489.499641169446,-497.358643324074,-497.035425309922,-497.358643324074,2
-421.648234356416,-429.467806657072,-427.866471946883,-429.467806657072,2
-453.349068967063,-480.944269019662,-480.128850010516,-480.944269019662,2
-523.287913519951,-531.867504691257,-529.867528461328,-531.867504691257,2
-500.215043056904,-513.457171208655,-511.507941833354,-513.457171208655,2
-510.604907236893,-515.65831261078,-513.8724147618,-515.65831261078,2
-476.968588080111,-494.471329589436,-492.66367529191,-494.471329589436,2
-310.69215772197,-321.010632580257,-319.211240186755,-321.010632580257,2
-482.785365251502,-501.538348930889,-500.461696959899,-501.538348930889,2
-481.655293862395,-496.571289506571,-496.465586111948,-496.571289506571,2
-474.422944043632,-498.411652210215,-498.588923267094,-498.588923267094,3
-423.203180956101,-436.104302225296,-434.948607955412,-436.104302225296,2
-422.902630085623,-441.329476529619,-443.117045138116,-443.117045138116,3
-457.8956407439,-469.373095974264,-467.563135518856,-469.373095974264,2
-469.241719729457,-481.695436853908,-481.832520872507,-481.832520872507,3
-442.658011105925,-460.596125762683,-459.291657090547,-460.596125762683,2
-459.132515853669,-471.066756878147,-472.299317958093,-472.299317958093,3
-363.445065991137,-374.421337118465,-375.665450041449,-375.665450041449,3
-478.163245600077,-495.746085159321,-494.909723759324,-495.746085159321,2
-452.427273891656,-464.535778638444,-464.906364338369,-464.906364338369,3
-503.235335071824,-516.476309663469,-516.490024277692,-516.490024277692,3
-324.346920122854,-346.569053874681,-346.512290109351,-346.569053874681,2
-415.513424672446,-431.28847715898,-430.131268730808,-431.28847715898,2
-388.684521588559,-395.137024305352,-394.685172446469,-395.137024305352,2
-420.324861439006,-430.610954061389,-429.109736685419,-430.610954061389,2
-410.270077161698,-420.702380535138,-421.753122112869,-421.753122112869,3
-466.954478897063,-479.216310436949,-477.235499947005,-479.216310436949,2
-462.577098525499,-473.255471650013,-473.433507226988,-473.433507226988,3
-463.962538918186,-474.527819593495,-474.315116707119,-474.527819593495,2
-511.894654326727,-518.034872626033,-516.036780891318,-518.034872626033,2
-391.728549028111,-396.744296738354,-396.276998386297,-396.744296738354,2
-473.649399731589,-479.9582895779,-478.153784530813,-479.9582895779,2
-492.307478811707,-510.020619044884,-508.795116382244,-510.020619044884,2
-511.214052631829,-527.742827685764,-526.791615838569,-527.742827685764,2
-441.682132026164,-468.534146999612,-466.559190915177,-468.534146999612,2
-421.468137901684,-434.171832850173,-433.030778824792,-434.171832850173,2
-454.800716388521,-469.899403284153,-467.905975428143,-469.899403284153,2
-428.344883310621,-450.578153953618,-449.625439101937,-450.578153953618,2
-486.111246687939,-506.720230417385,-505.358756741831,-506.720230417385,2
-550.306464023148,-560.32035757057,-558.320521690875,-560.32035757057,2
-465.714402251222,-495.248646961866,-493.391295637745,-495.248646961866,2
-443.92461252123,-472.63640272036,-470.639732185935,-472.63640272036,2
-538.336105360398,-552.277899431759,-550.306552118216,-552.277899431759,2
-473.827802636257,-477.619619810052,-475.667274008079,-477.619619810052,2
-515.876364018175,-531.600260952743,-530.988243236406,-531.600260952743,2
-541.423906055965,-547.11943901694,-546.131868167489,-547.11943901694,2
-527.79673876448,-540.453125565445,-539.299984672129,-540.453125565445,2
-447.248478622294,-472.958225956956,-471.289198835765,-472.958225956956,2
-507.296510605447,-524.354900772836,-522.3728010684,-524.354900772836,2
-509.133937088657,-517.846176352452,-515.85255117157,-517.846176352452,2
-407.707640969139,-423.167455217465,-421.168402832914,-423.167455217465,2
-510.231741815081,-515.142651715287,-513.173040332166,-515.142651715287,2
-446.835568449958,-464.607871982617,-462.704564478175,-464.607871982617,2
-410.493839687829,-422.787861295586,-420.819660403222,-422.787861295586,2
-524.506948036183,-536.363094639557,-535.751247866448,-536.363094639557,2
-400.541635926424,-423.748112254598,-421.866133415694,-423.748112254598,2
-481.785912326459,-497.09926238256,-496.395421614084,-497.09926238256,2
-480.76606042184,-489.570574746162,-488.19175202933,-489.570574746162,2
-333.317595466995,-351.627081298971,-349.627101385013,-351.627081298971,2
-500.037757354778,-517.075100951678,-515.489571111241,-517.075100951678,2
-478.999992876209,-491.584683235235,-490.707303214267,-491.584683235235,2
-480.798817256614,-498.905559588802,-497.200418295637,-498.905559588802,2
-480.200484343058,-500.097213575445,-498.097275133632,-500.097213575445,2
-478.220850914388,-489.270452238064,-489.569349001217,-489.569349001217,3
-499.110077166487,-515.556097601307,-514.365127759377,-515.556097601307,2
-499.986111165402,-511.704472681842,-511.542953986411,-511.704472681842,2
-512.611893264114,-542.455404476972,-541.712585145188,-542.455404476972,2
-498.385532577053,-519.263188486757,-519.193968055968,-519.263188486757,2
-490.592461716221,-513.307428254496,-513.431484452324,-513.431484452324,3
-461.404682193303,-480.53848717212,-480.198857248919,-480.53848717212,2
-486.294361623645,-504.371652374593,-504.231368724829,-504.371652374593,2
-460.835253570119,-480.718142898996,-480.161603867066,-480.718142898996,2
-460.376556719258,-482.594199860751,-482.696802353166,-482.696802353166,3
-458.871668895436,-481.013092623224,-479.017102769519,-481.013092623224,2
-452.596830193938,-465.496883761036,-464.668492149528,-465.496883761036,2
-433.418930613385,-443.31154910265,-442.723707455324,-443.31154910265,2
-378.666211190088,-390.387436265413,-388.514244734983,-390.387436265413,2
-395.344243541513,-413.402490959089,-413.371699833669,-413.402490959089,2
-451.59858157827,-463.645208419974,-462.027897462209,-463.645208419974,2
-433.118438099021,-447.93770326687,-446.713743976071,-447.93770326687,2
-469.025048158237,-486.090084433403,-484.103563551093,-486.090084433403,2
-469.222335639856,-491.686433499002,-491.038717690994,-491.686433499002,2
-469.150281320798,-487.044043597899,-486.533169418956,-487.044043597899,2
-422.618457058087,-433.532128063083,-432.563870659627,-433.532128063083,2
-393.40319644604,-411.17095420808,-409.252371140482,-411.17095420808,2
-483.787170020635,-497.515986973606,-498.501579326494,-498.501579326494,3
-452.250015047555,-462.0408186939,-461.248949264871,-462.0408186939,2
-437.255631301837,-453.970746990231,-452.386056461277,-453.970746990231,2
-468.729794296696,-485.569571256196,-484.719159140037,-485.569571256196,2
-414.108686581301,-433.051191826157,-432.245810606412,-433.051191826157,2
-362.631936649322,-375.931916085512,-374.080444294454,-375.931916085512,2
-371.973113088052,-396.314661770508,-394.667830506805,-396.314661770508,2
-420.35912519505,-433.078373728648,-431.781430243993,-433.078373728648,2
-414.387816615416,-426.281778974722,-424.459467006286,-426.281778974722,2
-387.711664894774,-399.682375878745,-399.474089059079,-399.682375878745,2
-410.784946797506,-422.539047216359,-424.850596169655,-424.850596169655,3
-364.472520789814,-371.868390148772,-370.419372843109,-371.868390148772,2
-450.142686789543,-470.71346519587,-472.134712532575,-472.134712532575,3
-468.142645829423,-481.95434117865,-480.880238421388,-481.95434117865,2
-382.436837396882,-396.958917049761,-396.320238574663,-396.958917049761,2
-420.845280371111,-435.828019452748,-434.038394854337,-435.828019452748,2
-443.454520687214,-461.804451343207,-462.177331112226,-462.177331112226,3
-452.396037018598,-462.839503058058,-461.323962479837,-462.839503058058,2
-422.133278285076,-440.241634390618,-443.997467407412,-443.997467407412,3
-444.273674061937,-467.375507525475,-466.135500068214,-467.375507525475,2
-458.270919530723,-474.666350471944,-473.55013884886,-474.666350471944,2
-502.004600039493,-513.363363501224,-512.43674413817,-513.363363501224,2
-515.328862522039,-524.235240988086,-522.852129928398,-524.235240988086,2
