"age1","age2","age3","minAIC","AIC"
-546.23172023418,-550.949559677719,-549.577740467688,-550.949559677719,2
-455.141652316405,-463.081606370603,-462.932600132722,-463.081606370603,2
-508.73647060765,-528.757958946987,-527.116086711876,-528.757958946987,2
-484.390331392463,-498.286513589414,-499.508320236024,-499.508320236024,3
-472.062122374447,-482.637869933882,-481.918595289249,-482.637869933882,2
-445.47919254097,-465.295885413922,-463.35461556131,-465.295885413922,2
-419.968261720591,-426.233000182049,-427.718708032906,-427.718708032906,3
-432.093013905239,-444.463783303611,-442.823357882041,-444.463783303611,2
-396.098909303872,-407.40645597178,-405.518892851411,-407.40645597178,2
-339.495736652072,-346.515179904956,-344.605775533627,-346.515179904956,2
-443.43567706443,-453.856319245209,-452.708466912256,-453.856319245209,2
-518.008885369254,-529.47671719103,-530.423079048178,-530.423079048178,3
-417.014832025866,-423.410426988681,-423.073575859283,-423.410426988681,2
-497.642812742615,-507.92094631096,-511.723979518686,-511.723979518686,3
-439.967431722491,-449.318882760859,-448.048009699189,-449.318882760859,2
-457.046111812482,-476.567010065645,-474.926728189237,-476.567010065645,2
-524.590891888151,-529.30904456005,-527.504431010761,-529.30904456005,2
-526.979787138934,-530.271565781984,-529.307085967499,-530.271565781984,2
-480.841825271548,-489.32282926728,-487.431668920596,-489.32282926728,2
-481.217644634612,-500.923968334708,-498.97305523911,-500.923968334708,2
-283.594866565648,-299.789968898508,-297.896174435071,-299.789968898508,2
-463.793309733256,-475.711093178136,-474.013291649878,-475.711093178136,2
-493.764301852152,-510.254586795668,-508.793626081707,-510.254586795668,2
-480.690425129842,-499.49289345364,-500.647907598657,-500.647907598657,3
-437.706106861951,-447.513529290493,-446.06409941447,-447.513529290493,2
-426.578573417503,-449.152308066553,-447.293718023155,-449.152308066553,2
-490.369831941914,-508.085913237298,-507.589264985628,-508.085913237298,2
-478.652128481261,-487.842199306267,-488.465148325477,-488.465148325477,3
-413.253836878371,-430.140987555252,-430.549362699376,-430.549362699376,3
-438.573710557458,-451.313252242391,-452.127127402655,-452.127127402655,3
-376.098547683548,-386.759300046712,-390.07390233214,-390.07390233214,3
-452.757294265078,-470.110659900648,-469.270899442732,-470.110659900648,2
-467.438541839814,-479.358104296436,-477.377728641073,-479.358104296436,2
-484.108187164227,-489.636274287646,-489.542010360708,-489.636274287646,2
-303.545101692349,-321.942726057808,-319.968112580908,-321.942726057808,2
-411.789147534424,-419.049167257423,-418.965985522438,-419.049167257423,2
-396.6089662969,-402.741869212881,-402.034823988927,-402.741869212881,2
-401.203350001834,-403.425884592615,-402.233950639524,-403.425884592615,2
-419.827019128675,-435.785577465567,-439.006814099383,-439.006814099383,3
-469.68116957744,-490.558485480098,-488.572398957143,-490.558485480098,2
-438.809536236227,-450.188110249821,-450.516424790475,-450.516424790475,3
-395.477233224629,-400.236218185172,-398.432702514386,-400.236218185172,2
-529.042213912716,-534.793832569976,-533.453535719721,-534.793832569976,2
-412.587519899888,-420.347742231842,-421.172042785592,-421.172042785592,3
-494.418521972938,-505.691873183983,-507.143562874782,-507.143562874782,3
-484.681287952697,-498.700775314165,-498.394906356602,-498.700775314165,2
-506.705637743594,-514.427733617144,-515.450316899725,-515.450316899725,3
-449.31017157788,-467.365173297864,-470.266775513531,-470.266775513531,3
-437.316916833412,-460.834191139245,-461.130433469669,-461.130433469669,3
-475.458442380566,-488.251782352635,-488.129636084342,-488.251782352635,2
-461.823709184116,-489.372473873897,-488.879274241515,-489.372473873897,2
-489.415429193388,-511.375668854695,-509.971011730822,-511.375668854695,2
-563.700635333722,-570.880393186831,-568.979154243018,-570.880393186831,2
-452.895999297048,-467.132841355673,-465.484113610654,-467.132841355673,2
-426.908682309483,-447.94263018834,-446.246512341854,-447.94263018834,2
-526.599794503534,-536.516611635114,-534.745314540066,-536.516611635114,2
-478.74130470766,-480.578894658911,-478.579590960673,-480.578894658911,2
-513.956208931467,-524.526665251788,-524.970665334933,-524.970665334933,3
-529.257062547601,-535.572706119251,-533.646973096602,-535.572706119251,2
-538.100716220146,-557.805022018142,-557.103650279151,-557.805022018142,2
-474.473018385648,-490.794497221919,-489.349001998068,-490.794497221919,2
-520.18091306296,-528.326385213656,-526.328442775654,-528.326385213656,2
-517.951390990896,-523.138791694398,-521.17248038583,-523.138791694398,2
-408.989849037353,-428.503954798394,-427.433631131123,-428.503954798394,2
-536.31979245436,-547.688236267062,-546.291769628768,-547.688236267062,2
-433.64405924632,-445.548872116018,-443.752255084647,-445.548872116018,2
-417.00465532942,-427.550520271831,-425.563291636903,-427.550520271831,2
-532.478146031103,-536.826211620728,-535.780599082642,-536.826211620728,2
-374.413962248071,-387.281549777413,-385.641074150201,-387.281549777413,2
-494.215735777502,-514.25641626747,-512.52223293032,-514.25641626747,2
-478.12243803129,-481.216378270278,-479.823566016314,-481.216378270278,2
-352.001348291086,-370.145312640294,-368.403186025343,-370.145312640294,2
-497.495431564745,-518.189063798299,-516.983389387134,-518.189063798299,2
-521.518262925083,-534.531035758015,-532.771590058797,-534.531035758015,2
-460.369666212688,-471.470750932671,-469.485847656946,-471.470750932671,2
-443.391766073128,-460.370942236641,-458.391911599483,-460.370942236641,2
-462.603221209831,-475.853393372288,-474.817851346745,-475.853393372288,2
-470.442775836708,-474.675384179909,-473.748581214195,-474.675384179909,2
-464.406072367722,-470.833566399436,-469.405828096128,-470.833566399436,2
-472.602347094865,-486.929146160767,-486.152316199293,-486.929146160767,2
-479.220943161835,-490.132713760869,-490.450442656951,-490.450442656951,3
-478.931381063428,-496.97399897124,-497.463261431588,-497.463261431588,3
-466.975320802462,-483.847381252037,-484.258113685013,-484.258113685013,3
-467.985922805581,-490.72811302029,-492.72670816443,-492.72670816443,3
-455.214492387021,-474.634133628571,-478.245824722398,-478.245824722398,3
-438.526611717711,-454.583462832121,-454.293667549958,-454.583462832121,2
-477.511131499561,-499.457997867595,-498.679490361367,-499.457997867595,2
-482.432582306115,-503.386557016596,-501.508531958162,-503.386557016596,2
-428.405259313106,-443.420681302367,-442.16400704395,-443.420681302367,2
-405.367650875324,-410.536435945952,-408.594391194086,-410.536435945952,2
-386.959679349214,-395.526429458936,-395.357875793664,-395.526429458936,2
-492.151852535122,-501.318415136473,-500.204341255419,-501.318415136473,2
-425.200371625925,-437.679390171648,-437.067388678969,-437.679390171648,2
-467.794427984079,-483.521326778256,-482.281801465704,-483.521326778256,2
-498.144330859637,-518.210316455811,-516.728600404606,-518.210316455811,2
-487.625261986752,-503.670027979003,-503.587383186415,-503.670027979003,2
-447.498046819471,-456.516471189308,-456.52640241855,-456.52640241855,3
-392.70158271684,-407.279545263604,-412.638519706664,-412.638519706664,3
-483.218734106129,-494.569781841153,-495.791203573986,-495.791203573986,3
-478.151185390443,-491.739354001077,-490.931714670096,-491.739354001077,2
-442.306833243256,-455.055360835618,-455.820361787625,-455.820361787625,3
-460.845492369074,-468.550954533037,-469.713255127049,-469.713255127049,3
-407.875144804152,-418.865954505807,-421.189622099195,-421.189622099195,3
-391.138878100337,-412.122206533145,-413.363788331995,-413.363788331995,3
-379.933554690451,-399.619642103644,-398.291538691495,-399.619642103644,2
-417.5225860882,-426.624298327256,-427.363222557539,-427.363222557539,3
-410.720930283822,-420.25678142301,-421.032491374452,-421.032491374452,3
