"age1","age2","age3","minAIC","AIC"
-529.391344538769,-536.005191041001,-535.384307406764,-536.005191041001,2
-544.149188818898,-552.404395568855,-551.829546345574,-552.404395568855,2
-582.057448842025,-600.640784151511,-603.170720814548,-603.170720814548,3
-526.848359235088,-532.506867818762,-533.654606089292,-533.654606089292,3
-501.43800354474,-508.131194049884,-507.551181274218,-508.131194049884,2
-520.448737315246,-524.069582818424,-522.073100489981,-524.069582818424,2
-523.617516273711,-521.941902787279,-520.124835288336,-523.617516273711,1
-497.744081188643,-499.339206408183,-497.753531799795,-499.339206408183,2
-460.350934607254,-460.295517112391,-460.960792212054,-460.960792212054,3
-538.827301452155,-536.905899178846,-534.911310545267,-538.827301452155,1
-528.41960595539,-526.434726500892,-525.932594961749,-528.41960595539,1
-473.690095064636,-495.866533619949,-493.889474001972,-495.866533619949,2
-525.232536829585,-525.860608438165,-524.669528250501,-525.860608438165,2
-508.558046166901,-524.230028738346,-523.509478015224,-524.230028738346,2
-573.258590348996,-580.577984239378,-581.946695361284,-581.946695361284,3
-545.440781201775,-547.647052757747,-547.81278393375,-547.81278393375,3
-454.437199584363,-458.181487457335,-456.210454236131,-458.181487457335,2
-462.792459467744,-478.705104343542,-479.830412947908,-479.830412947908,3
-400.042455935831,-408.453813199191,-409.787765728264,-409.787765728264,3
-502.29424476102,-508.286913203683,-506.809543462887,-508.286913203683,2
-327.410433362851,-328.656139469644,-328.129164489314,-328.656139469644,2
-509.018939208149,-516.03548742611,-516.997832037085,-516.997832037085,3
-534.435199911135,-548.793914030306,-550.539562079532,-550.539562079532,3
-518.660386335135,-526.173238481103,-526.244483485794,-526.244483485794,3
-532.916622809218,-540.412225106837,-538.779168460772,-540.412225106837,2
-496.350646365547,-502.202765677509,-500.332878827532,-502.202765677509,2
-498.562120173801,-502.150192868654,-501.391153729271,-502.150192868654,2
-458.765486024776,-462.864688875019,-465.823534063039,-465.823534063039,3
-552.626199332168,-554.535098707341,-553.362091425463,-554.535098707341,2
-481.110631855302,-487.265836250001,-485.314426441735,-487.265836250001,2
-418.28786896484,-416.905797072612,-415.703782319726,-418.28786896484,1
-502.459413089196,-513.078402310286,-512.985092309023,-513.078402310286,2
-525.565992941334,-541.879314017061,-539.889203231148,-541.879314017061,2
-488.799630682141,-498.561755195055,-496.745389684502,-498.561755195055,2
-360.935167011848,-370.41685552972,-369.217150497201,-370.41685552972,2
-503.326645546921,-503.648565410142,-506.325720235433,-506.325720235433,3
-496.065938140444,-499.885304686762,-498.26743619247,-499.885304686762,2
-465.390171718545,-464.181803081858,-463.6447979172,-465.390171718545,1
-498.970540653713,-503.47923349425,-502.596905821969,-503.47923349425,2
-446.120961789118,-451.659935361783,-453.34669913721,-453.34669913721,3
-521.679603125022,-529.333547241311,-528.469783613088,-529.333547241311,2
-473.840716534479,-473.016574592592,-474.841806663456,-474.841806663456,3
-517.599000588231,-531.790478499717,-530.063081794152,-531.790478499717,2
-511.020441754266,-512.051254789812,-511.877159688479,-512.051254789812,2
-546.329042237029,-554.140156429322,-552.191224860331,-554.140156429322,2
-473.433658296976,-485.314053852877,-483.865713375448,-485.314053852877,2
-507.799990871357,-528.10339750163,-527.332720448596,-528.10339750163,2
-509.187843772034,-517.429757281564,-515.57477419138,-517.429757281564,2
-512.559441842638,-518.497576930955,-517.23716358419,-518.497576930955,2
-508.33426749303,-519.839535150137,-518.673806184263,-519.839535150137,2
-510.955710101493,-522.735722301343,-521.516683921922,-522.735722301343,2
-548.773767218672,-562.312792107744,-561.785232713902,-562.312792107744,2
-419.591717698307,-433.624628761426,-431.88584621452,-433.624628761426,2
-519.338787225162,-523.287606061569,-522.579901226156,-523.287606061569,2
-491.862989474481,-492.024887232022,-490.043298468092,-492.024887232022,2
-455.169523655702,-457.509757753586,-455.537347519768,-457.509757753586,2
-519.156130009517,-520.510899518415,-518.896752072947,-520.510899518415,2
-429.312252670319,-439.852195858261,-437.986914325839,-439.852195858261,2
-338.838162816907,-355.6025067987,-353.603335588219,-355.6025067987,2
-471.947572884842,-477.941923816756,-475.942927489031,-477.941923816756,2
-501.969673588609,-513.453488671294,-511.588604570315,-513.453488671294,2
-441.811064517037,-444.213213315532,-442.291303966793,-444.213213315532,2
-377.904368247051,-377.340802288066,-375.341536690123,-377.904368247051,1
-441.38821165186,-440.804935210398,-439.618071386457,-441.38821165186,1
-462.873347034604,-482.014882455238,-480.57148953738,-482.014882455238,2
-520.973897644447,-529.099078544118,-527.103866797577,-529.099078544118,2
-532.172289372631,-547.519993839607,-545.898966855583,-547.519993839607,2
-476.558397408988,-490.863532161346,-489.503787016596,-490.863532161346,2
-458.424599157166,-469.272757359712,-471.308919321717,-471.308919321717,3
-464.194845429038,-477.447735070831,-476.379622730593,-477.447735070831,2
-477.559630395188,-500.021283427642,-498.658559445963,-500.021283427642,2
-461.912764988397,-459.967727088061,-458.511917071708,-461.912764988397,1
-529.346540367195,-538.372360977797,-537.483159328778,-538.372360977797,2
-537.803547918161,-551.928424192323,-549.942387486772,-551.928424192323,2
-514.968331672991,-518.727811641133,-517.526315346253,-518.727811641133,2
-526.251004304724,-537.668252120309,-539.120167879514,-539.120167879514,3
-500.922499782813,-512.314573321289,-511.07232939572,-512.314573321289,2
-491.153801636305,-502.364379447538,-504.03426564017,-504.03426564017,3
-509.322857742885,-521.921417584374,-522.600950901412,-522.600950901412,3
-501.715833442046,-508.291273285834,-511.328196771607,-511.328196771607,3
-490.045279553156,-505.836830997235,-503.837438976264,-505.836830997235,2
-486.187265664042,-491.03421988822,-491.613703085834,-491.613703085834,3
-496.460595305888,-503.793571220644,-502.451336305417,-503.793571220644,2
-477.866041049787,-489.387357749102,-488.744433540011,-489.387357749102,2
-492.131074168234,-503.427040615527,-503.38388482933,-503.427040615527,2
-524.723417740905,-535.534178843634,-534.539229671691,-535.534178843634,2
-537.360301011055,-559.287204791183,-560.518091950692,-560.518091950692,3
-509.889777755237,-519.034588612144,-517.204271882282,-519.034588612144,2
-513.947739787887,-520.834364660162,-520.322796712087,-520.834364660162,2
-576.778823392927,-575.808395248308,-576.278793920068,-576.778823392927,1
-481.552662845383,-479.773957775151,-479.035000389962,-481.552662845383,1
-499.848720824344,-513.773583800852,-511.856620040785,-513.773583800852,2
-533.461384399319,-536.416656343592,-534.577712973631,-536.416656343592,2
-520.759097369626,-525.618085868437,-524.470897731019,-525.618085868437,2
-494.320690064755,-497.107377404569,-495.455883398245,-497.107377404569,2
-488.100362881311,-503.381632455371,-506.508747837641,-506.508747837641,3
