"age1","age2","age3","minAIC","AIC"
-520.426992144177,-525.60928856586,-523.619783329611,-525.60928856586,2
-524.448305362058,-524.679675099664,-524.137962980779,-524.679675099664,2
-611.151644301904,-619.952563088569,-618.215883077045,-619.952563088569,2
-508.242416918179,-515.949915635339,-518.772487496568,-518.772487496568,3
-543.254061789306,-547.662837985905,-550.394286894234,-550.394286894234,3
-553.180316350395,-552.80699701407,-555.229709245439,-555.229709245439,3
-529.791059228919,-536.250759274795,-535.081230015102,-536.250759274795,2
-494.019306286226,-492.549624835069,-490.711088121545,-494.019306286226,1
-443.817904171915,-442.418392283196,-440.525773267317,-443.817904171915,1
-529.885850602004,-527.887408706905,-526.387651105847,-529.885850602004,1
-525.921249533585,-524.396960797074,-523.822223512038,-525.921249533585,1
-507.834241683479,-525.675842204073,-523.959031513494,-525.675842204073,2
-548.391496546641,-546.403366674717,-545.198708050243,-548.391496546641,1
-584.33190128067,-588.210924503336,-588.419422306753,-588.419422306753,3
-527.416693308627,-526.043262429642,-524.641307222769,-527.416693308627,1
-527.841232852937,-531.779281330825,-530.704111069903,-531.779281330825,2
-461.843649705396,-468.199180760259,-466.600583889214,-468.199180760259,2
-471.631315542996,-487.544385163645,-485.624130042488,-487.544385163645,2
-388.596717003212,-395.826064718557,-396.416341171954,-396.416341171954,3
-520.251285452278,-526.445617246874,-524.48471060576,-526.445617246874,2
-351.103836834343,-349.79915133778,-355.372950053386,-355.372950053386,3
-519.500867433211,-521.904464171954,-519.904474057385,-521.904464171954,2
-513.765865874308,-536.414538490896,-534.69047282851,-536.414538490896,2
-521.320424568362,-527.226215483773,-525.458909729089,-527.226215483773,2
-528.081682651786,-535.443750303483,-533.496802403278,-535.443750303483,2
-494.741199161675,-498.123742996465,-497.426385586628,-498.123742996465,2
-519.992352092313,-527.043517931293,-525.600882627406,-527.043517931293,2
-480.897193403441,-490.246984238784,-491.685266328176,-491.685266328176,3
-542.003581174083,-542.27266910787,-540.839682950563,-542.27266910787,2
-510.005398653443,-513.565157388146,-511.795334947866,-513.565157388146,2
-410.070168929122,-408.08277884665,-406.221905680198,-410.070168929122,1
-493.374464449257,-501.531403465758,-502.244315325243,-502.244315325243,3
-540.097581018931,-560.195666284703,-558.205508443775,-560.195666284703,2
-529.529709224238,-540.942549886625,-539.927421792025,-540.942549886625,2
-385.925501739537,-384.199626656243,-382.210202027136,-385.925501739537,1
-533.661999027176,-531.663402324832,-534.354946232804,-534.354946232804,3
-461.435659443564,-462.649824361836,-460.678602416311,-462.649824361836,2
-416.438471939235,-414.634202450117,-413.476910645415,-416.438471939235,1
-441.625992397121,-445.800779485574,-445.654073857006,-445.800779485574,2
-408.565098196449,-421.773743534574,-426.100017166537,-426.100017166537,3
-540.586131604845,-546.388825474248,-544.399378023386,-546.388825474248,2
-472.399549671774,-470.700655161697,-469.683851776587,-472.399549671774,1
-538.900547143138,-548.210032168305,-547.227832201605,-548.210032168305,2
-534.999701428506,-533.001297713039,-531.644051351297,-534.999701428506,1
-587.717278296626,-592.442924138779,-595.025086154552,-595.025086154552,3
-493.005390891833,-507.8299799817,-505.840554466123,-507.8299799817,2
-544.507881000077,-557.620837697267,-555.792400557937,-557.620837697267,2
-532.711187709428,-535.145060424656,-533.145529986873,-535.145060424656,2
-525.927170499653,-529.439986005317,-529.145185456935,-529.439986005317,2
-524.202289067227,-524.375214300578,-523.502670367597,-524.375214300578,2
-524.420332598059,-534.095152697436,-533.686791946907,-534.095152697436,2
-554.523157094006,-559.545312730377,-557.697398018497,-559.545312730377,2
-462.546610289116,-473.134014837002,-471.134549651646,-473.134014837002,2
-528.550225126348,-529.318585008874,-527.321057963843,-529.318585008874,2
-495.062604359593,-495.507353819355,-494.116113228894,-495.507353819355,2
-460.749434503844,-466.898932864064,-465.450363438769,-466.898932864064,2
-527.354752600645,-527.062788536802,-525.342331612893,-527.354752600645,1
-466.46737683807,-478.092376718888,-476.492999860745,-478.092376718888,2
-341.346780598524,-343.089633838617,-341.278573768869,-343.089633838617,2
-475.547676437408,-484.700253329989,-483.594494546748,-484.700253329989,2
-528.364095809716,-529.484984055909,-528.75390896535,-529.484984055909,2
-442.947419365527,-450.128843686819,-451.175692968553,-451.175692968553,3
-388.087752799227,-387.958185161361,-385.967712296356,-388.087752799227,1
-425.492090688625,-423.728334305568,-422.031478574188,-425.492090688625,1
-437.523291086133,-448.497902238493,-446.546578706608,-448.497902238493,2
-529.074027838393,-528.136861489594,-526.34043208728,-529.074027838393,1
-492.315529971259,-504.394778466854,-503.556478126726,-504.394778466854,2
-511.226368295266,-518.427857351414,-516.434692705519,-518.427857351414,2
-463.159945108224,-462.504678125824,-460.835086021729,-463.159945108224,1
-502.014392820034,-508.254297683057,-506.86947401755,-508.254297683057,2
-489.836146851728,-506.303872240324,-505.733768985362,-506.303872240324,2
-463.736187226928,-463.846608709482,-462.145804883503,-463.846608709482,2
-496.400370395615,-509.186090574825,-508.675524314219,-509.186090574825,2
-530.045340752223,-546.047600258565,-544.099520439137,-546.047600258565,2
-526.60691140687,-527.398148544316,-525.977409684503,-527.398148544316,2
-542.269386074301,-542.225770209198,-540.22609543612,-542.269386074301,1
-507.896365546496,-519.638884087394,-519.973795627282,-519.973795627282,3
-535.687532306655,-538.351501403576,-539.147541003155,-539.147541003155,3
-545.428569213948,-551.38644525702,-549.514460324445,-551.38644525702,2
-511.584027127009,-516.889439682522,-515.901092477024,-516.889439682522,2
-525.560615502733,-527.002410624599,-532.612210291529,-532.612210291529,3
-497.414329644362,-507.695449290326,-506.416146575256,-507.695449290326,2
-538.34406703328,-540.218529839128,-539.196509476555,-540.218529839128,2
-500.48000241115,-509.704492776498,-507.921644625698,-509.704492776498,2
-533.813635188435,-540.528459517624,-541.130729796879,-541.130729796879,3
-510.213271055506,-517.216189180243,-518.777553105165,-518.777553105165,3
-528.609681631893,-541.55664138399,-539.806655947448,-541.55664138399,2
-523.057359540667,-525.568798371322,-523.570104689993,-525.568798371322,2
-503.818860811159,-507.415939966983,-507.497034916985,-507.497034916985,3
-549.842789241623,-552.438738840195,-550.439053151867,-552.438738840195,2
-444.9461943409,-444.064864302131,-442.092566471843,-444.9461943409,1
-504.901955537985,-508.973799798954,-507.113763932852,-508.973799798954,2
-494.713247686611,-494.118700255366,-492.948810093951,-494.713247686611,1
-529.306054076745,-536.042866589384,-534.132792124494,-536.042866589384,2
-516.166997486417,-520.20098091686,-520.415917026356,-520.415917026356,3
-483.169725068989,-494.848635713517,-493.184484942324,-494.848635713517,2
-528.573808271843,-528.678720521664,-527.420571857779,-528.678720521664,2
-485.064520651289,-483.394807401184,-481.623295832435,-485.064520651289,1
-498.098102350093,-522.134693330763,-528.749983407451,-528.749983407451,3
-478.061361941163,-489.090787225062,-487.233652599383,-489.090787225062,2
-502.231459950365,-503.205869395768,-505.964424195631,-505.964424195631,3
-520.224603701905,-536.572593554535,-536.444724991968,-536.572593554535,2
-528.808743952191,-528.802009168103,-527.60399166806,-528.808743952191,1
-459.60368560935,-457.641070909456,-455.650105684009,-459.60368560935,1
-503.840683706308,-502.691173925166,-501.173964599901,-503.840683706308,1
-508.769110934547,-508.480327041984,-506.612780900211,-508.769110934547,1
-552.242242497137,-553.204743932517,-551.546855116428,-553.204743932517,2
-464.324379680864,-465.238019868118,-463.586052797988,-465.238019868118,2
-505.225097524958,-504.151049341044,-502.176598923343,-505.225097524958,1
-359.533721730276,-357.538771042258,-355.573731529294,-359.533721730276,1
-537.452177330068,-538.112761755681,-536.119232191902,-538.112761755681,2
-548.052778377037,-554.871162404564,-553.889232991218,-554.871162404564,2
-471.947104150407,-475.774065545457,-474.646504722735,-475.774065545457,2
-539.101686228448,-540.805640372254,-538.851777599324,-540.805640372254,2
-500.039588323266,-514.260962496039,-512.431985900228,-514.260962496039,2
