"age1","age2","age3","minAIC","AIC"
-42.1195210993812,-40.1275282896905,-39.8991478378807,-42.1195210993812,1
-129.668412768389,-128.445318414574,-131.027150586421,-131.027150586421,3
-159.770225942582,-161.149343134559,-167.001501123608,-167.001501123608,3
-172.139466907631,-170.624810089675,-176.768331742705,-176.768331742705,3
-184.222987390412,-182.236034923043,-181.854266547127,-184.222987390412,1
-158.167107805556,-156.219155307327,-154.246148390011,-158.167107805556,1
-239.672529520708,-238.858095065587,-247.951380229193,-247.951380229193,3
-44.1521190656801,-42.1860357312581,-42.6794895256409,-44.1521190656801,1
-121.777024795462,-122.171093378427,-120.172892888117,-122.171093378427,2
-188.777355409197,-188.819808462922,-187.311264722726,-188.819808462922,2
-82.8989368036907,-95.3768102006057,-96.7328250790919,-96.7328250790919,3
-102.277129875157,-101.31554862473,-99.4347606904856,-102.277129875157,1
-124.453446757074,-122.681207418235,-121.697417499506,-124.453446757074,1
-160.374389657438,-158.482374145593,-159.165399102064,-160.374389657438,1
-203.825417248087,-201.825722381326,-204.327984960604,-204.327984960604,3
-198.153602118731,-196.162217424389,-198.24565987231,-198.24565987231,3
-26.0252560112404,-24.0401699575573,-22.55699961985,-26.0252560112404,1
-143.552492717898,-144.592141677387,-142.608122708628,-144.592141677387,2
-15.8971273392945,-18.1367863700357,-16.6299323697628,-18.1367863700357,2
-134.151795772802,-132.994980582377,-132.013347571094,-134.151795772802,1
-112.534829830254,-110.935909626513,-108.936158401749,-112.534829830254,1
-194.944732446587,-194.549308253183,-198.148653633869,-198.148653633869,3
-139.541111432459,-139.098759297583,-148.349458437747,-148.349458437747,3
-180.981873818927,-180.119391655647,-181.991429893559,-181.991429893559,3
-123.361298598127,-122.779525145059,-120.793632685862,-123.361298598127,1
-154.830666325691,-153.858499824347,-152.355567863248,-154.830666325691,1
-114.003490839306,-112.355664182578,-114.596505438197,-114.596505438197,3
-91.0993297767187,-90.3343989313645,-98.5806210763724,-98.5806210763724,3
-221.955369680332,-220.874769227238,-221.047018687371,-221.955369680332,1
-132.681386324242,-133.694786425066,-133.247893775602,-133.694786425066,2
-134.300910718327,-132.319486187181,-130.476221166411,-134.300910718327,1
-167.106747048659,-165.733966088149,-168.286929122561,-168.286929122561,3
-149.006565923278,-149.003623886765,-148.801608379812,-149.006565923278,1
-145.880754366602,-144.677115265913,-151.763514982151,-151.763514982151,3
-147.884722191176,-146.561361763106,-144.909356830821,-147.884722191176,1
-218.193031706593,-217.686777810157,-225.854157399723,-225.854157399723,3
-177.11199499689,-175.156662278066,-173.344792845986,-177.11199499689,1
-89.0041601682688,-87.3845826956668,-89.3325924924489,-89.3325924924489,3
-181.272369371059,-185.91989655281,-190.295869106783,-190.295869106783,3
-5.34350725225071,-5.50751071983298,-13.0481581614449,-13.0481581614449,3
-118.447408503568,-119.027875791954,-119.320558404951,-119.320558404951,3
-60.3649516412008,-58.847195239895,-62.0392990991327,-62.0392990991327,3
-104.364869617074,-102.928780094034,-102.497543439094,-104.364869617074,1
-177.306034737828,-178.341939488461,-177.449028114754,-178.341939488461,2
-154.435470023664,-153.796533405192,-152.401520125386,-154.435470023664,1
-61.1845431274311,-65.2472590138928,-64.098300718684,-65.2472590138928,2
-162.516957732382,-160.546107088993,-158.76800147481,-162.516957732382,1
-107.335196895473,-107.690147062545,-105.690794358732,-107.690147062545,2
-106.561795168114,-107.550032851028,-106.565760530238,-107.550032851028,2
-176.723544268407,-175.4654375202,-181.641384892265,-181.641384892265,3
-80.4521173460897,-78.4767672051271,-77.9417416150848,-80.4521173460897,1
-199.918919355221,-206.127164820556,-207.096604947909,-207.096604947909,3
-64.4629913435775,-68.6857172046842,-67.5541914033423,-68.6857172046842,2
-183.911415179787,-182.059966523914,-182.029462526905,-183.911415179787,1
-173.376772468309,-171.409692793343,-177.060991424394,-177.060991424394,3
-48.0385274317431,-46.0471962088406,-44.8789496909801,-48.0385274317431,1
-80.0823518694603,-79.0077009109374,-77.7792529542908,-80.0823518694603,1
-51.3916589148755,-49.4221139290406,-49.0113158661254,-51.3916589148755,1
16.9178085549108,17.6378810740819,19.1583937939768,16.9178085549108,1
-106.123423255555,-104.12472453867,-102.150144146289,-106.123423255555,1
-171.294711097862,-173.035895269256,-171.066566847782,-173.035895269256,2
-54.8522056917853,-56.0546269746288,-55.7756149704518,-56.0546269746288,2
26.5662800738676,19.8696872213461,21.7156312796865,19.8696872213461,2
-150.611563521066,-156.479343131869,-155.744523340817,-156.479343131869,2
-132.005412791256,-132.89333369828,-134.413292678776,-134.413292678776,3
-155.759138531804,-160.800964627636,-159.900847736491,-160.800964627636,2
-229.90111318178,-230.327709683403,-229.698688072218,-230.327709683403,2
-99.1653610757434,-97.9778137655595,-96.8581399004339,-99.1653610757434,1
1.28247654228845,-6.42682245177861,-5.36489778039435,-6.42682245177861,2
-112.913969995549,-119.069930728847,-120.060075496512,-120.060075496512,3
-97.0114209879785,-101.058052797303,-99.0676680807952,-101.058052797303,2
-579.950360837441,-583.676322713821,-581.72997624252,-583.676322713821,2
-119.089907903457,-119.891369555894,-120.599631122056,-120.599631122056,3
-140.061558189097,-138.420958982685,-137.240448978231,-140.061558189097,1
-158.821722592328,-156.908360843567,-156.466444020836,-158.821722592328,1
-176.751638539436,-175.117449384215,-174.872440320988,-176.751638539436,1
-148.236007854138,-150.402651148656,-156.053896118707,-156.053896118707,3
-186.250249266148,-185.532862258264,-187.664683457308,-187.664683457308,3
-184.006228581482,-182.129764580566,-183.365312891121,-184.006228581482,1
-193.641387812065,-191.702405938555,-196.436191687137,-196.436191687137,3
-165.69769302875,-164.006945051849,-162.629870430217,-165.69769302875,1
-157.421644456463,-155.80747649665,-154.314140492541,-157.421644456463,1
-185.026754678931,-183.577888744758,-183.462501244943,-185.026754678931,1
-156.632885008542,-154.64961862628,-154.587099498894,-156.632885008542,1
-180.699264663986,-179.621548244779,-180.069153987228,-180.699264663986,1
-127.786337551817,-125.798839380287,-132.712641614997,-132.712641614997,3
