"age1","age2","age3","minAIC","AIC"
-468.120931552321,-469.077633025146,-469.878258029143,-469.878258029143,3
-523.266367120329,-521.266504865783,-520.619234324685,-523.266367120329,1
-504.057738078088,-502.740115052238,-501.585970685843,-504.057738078088,1
-465.16293143175,-465.009405311782,-463.217348817139,-465.16293143175,1
-476.910782118893,-475.502882814005,-477.321879023854,-477.321879023854,3
-490.441351494911,-488.531596414008,-486.979609109483,-490.441351494911,1
-479.678017546834,-477.695853029704,-481.186950248105,-481.186950248105,3
-500.836935284835,-500.114337235499,-499.96728712871,-500.836935284835,1
-503.693472802508,-503.06892484929,-501.087860814976,-503.693472802508,1
-603.551489223816,-603.825832640516,-602.025157222104,-603.825832640516,2
-528.812829879255,-526.982261243552,-525.256139599754,-528.812829879255,1
-421.797378315386,-419.853569990674,-418.303428775221,-421.797378315386,1
-516.379662948764,-514.426512830746,-513.156929225519,-516.379662948764,1
-474.985624231989,-473.037748317319,-471.651971739163,-474.985624231989,1
-514.421390254898,-514.651559351721,-514.961608001701,-514.961608001701,3
-501.30794679872,-501.229679172865,-501.984290137823,-501.984290137823,3
-472.351811673707,-470.999321835168,-469.953118894062,-472.351811673707,1
-457.83826640705,-456.281640539121,-455.857284702207,-457.83826640705,1
-388.935160072682,-389.241243263737,-387.300989203542,-389.241243263737,2
-425.337174633859,-423.534463655511,-426.851205005912,-426.851205005912,3
-484.726509416914,-491.156108397519,-489.702305297934,-491.156108397519,2
-440.60872036146,-438.728838281157,-437.750383217734,-440.60872036146,1
-425.270940620346,-423.335012892845,-421.916471156191,-425.270940620346,1
-506.726309664723,-504.73717243643,-505.928033380605,-506.726309664723,1
-482.990199606241,-481.492235467152,-479.514640954728,-482.990199606241,1
-477.022120280019,-476.372494293898,-480.405211901714,-480.405211901714,3
-474.595936088583,-472.606399869342,-470.967808842437,-474.595936088583,1
-465.301478443815,-463.301768352875,-463.236238274746,-465.301478443815,1
-494.589667132903,-492.842328579559,-492.3741580228,-494.589667132903,1
-476.792496825777,-474.825511988694,-475.152722479848,-476.792496825777,1
-542.102211702725,-541.539804888331,-540.578186750115,-542.102211702725,1
-449.569566479458,-447.637194951689,-446.509392779645,-449.569566479458,1
-491.121571474357,-489.558055516968,-491.288985179624,-491.288985179624,3
-485.267420337098,-485.563272305161,-493.531335383624,-493.531335383624,3
-554.640901756229,-554.233600150472,-554.539109076646,-554.640901756229,1
-527.96836500771,-526.05180284371,-528.302841639583,-528.302841639583,3
-493.536727248408,-491.690522082717,-489.72549313569,-493.536727248408,1
-616.09546134829,-616.029909027537,-614.079939882699,-616.09546134829,1
-444.498850116602,-442.515171063844,-445.835542656393,-445.835542656393,3
-414.834564229268,-417.255090282237,-415.94429080965,-417.255090282237,2
-516.857549092572,-515.422830122201,-514.364911372177,-516.857549092572,1
-585.854266742874,-583.865940914628,-584.480645177238,-585.854266742874,1
-544.92103451566,-552.385748728581,-550.780003445217,-552.385748728581,2
-561.145557698079,-559.866657183967,-559.551249822173,-561.145557698079,1
-534.841183312956,-539.210137557562,-537.588122081532,-539.210137557562,2
-446.954053227672,-445.035936205373,-443.238351918529,-446.954053227672,1
-430.605526419035,-428.731543536279,-429.29294420028,-430.605526419035,1
-451.35746104448,-453.392689071925,-451.50923020078,-453.392689071925,2
-468.787451137033,-469.009807347346,-467.33872281892,-469.009807347346,2
-453.482436627467,-452.348717200204,-450.458178826955,-453.482436627467,1
-465.740847536133,-467.630614112277,-466.142134802945,-467.630614112277,2
-504.071206319038,-502.264148370223,-502.679430140628,-504.071206319038,1
-517.315412363053,-525.203634903819,-523.892218679117,-525.203634903819,2
-465.808543607838,-463.83125302835,-461.840717225342,-465.808543607838,1
-493.991283507883,-493.612312931478,-491.676767333688,-493.991283507883,1
-525.343331430764,-523.867514959874,-524.888828601385,-525.343331430764,1
-502.287256424833,-500.320162966041,-498.457305985146,-502.287256424833,1
-418.201718834318,-421.783646458002,-420.294899495429,-421.783646458002,2
-384.433852084101,-386.235622163062,-384.459142907222,-386.235622163062,2
-435.484282062756,-433.594487583555,-431.616535914545,-435.484282062756,1
-498.012483487413,-496.127681078494,-497.949258056579,-498.012483487413,1
-532.867100901552,-533.263323205766,-531.299064731753,-533.263323205766,2
-458.411743141334,-458.802243873614,-458.749299626114,-458.802243873614,2
-568.370795899425,-567.04579235299,-567.341642407585,-568.370795899425,1
-458.376058038205,-460.45118949592,-458.720991898704,-460.45118949592,2
-444.242332749396,-442.260456204984,-442.539830508818,-444.242332749396,1
-443.452443424567,-442.370343386872,-441.964767008943,-443.452443424567,1
-429.816770492851,-428.452178165146,-434.73938733703,-434.73938733703,3
-464.94505451228,-464.419287659538,-464.773549264175,-464.94505451228,1
-446.488216270179,-447.454636204871,-454.222076169145,-454.222076169145,3
-467.386357465372,-466.000588418558,-464.000964870954,-467.386357465372,1
-788.108416985455,-786.113553405507,-785.812775317976,-788.108416985455,1
-410.002492386674,-408.665617584953,-409.107028097975,-410.002492386674,1
-439.837493717668,-437.843553260639,-437.956322280924,-439.837493717668,1
-435.476660486335,-434.692403793925,-433.936737110189,-435.476660486335,1
-421.624711291416,-419.731555941519,-419.518482853945,-421.624711291416,1
-414.565227567341,-413.701233881877,-414.526782147865,-414.565227567341,1
-410.195575752735,-408.764129169308,-409.055736263082,-410.195575752735,1
-440.82295133792,-439.447181754022,-440.580897600966,-440.82295133792,1
-445.147223295521,-444.124955033945,-444.921068460754,-445.147223295521,1
-469.779829466157,-467.950677550477,-466.831662903253,-469.779829466157,1
-455.089959298801,-453.778488702938,-453.298330750173,-455.089959298801,1
-473.985077597307,-472.032445203282,-471.494856931799,-473.985077597307,1
-476.190513034134,-474.19177440695,-473.226140229469,-476.190513034134,1
-500.975550870378,-501.757470484898,-503.910571784682,-503.910571784682,3
-474.943869171867,-473.225560092056,-472.363672217419,-474.943869171867,1
-499.071557330393,-497.958760372351,-496.438538026259,-499.071557330393,1
-481.16013311823,-479.987657020735,-478.898522145937,-481.16013311823,1
-472.239014192949,-470.259413655707,-472.988103246643,-472.988103246643,3
-606.257403121444,-604.804503051162,-603.170351659737,-606.257403121444,1
-536.066208821906,-538.622491813197,-537.638282941763,-538.622491813197,2
-453.151290277585,-452.616565464529,-451.670507436796,-453.151290277585,1
-486.776002939288,-486.675524780615,-485.28551904002,-486.776002939288,1
-523.577891974326,-521.627844686215,-520.313377962097,-523.577891974326,1
-469.629552845379,-468.102662045111,-467.300780706456,-469.629552845379,1
-475.127970629449,-473.168838266169,-471.32395967304,-475.127970629449,1
-474.224852323385,-472.319463085807,-474.622922594104,-474.622922594104,3
-539.759908045876,-538.834031501062,-538.85522766825,-539.759908045876,1
-451.195427104017,-449.197594450624,-450.11338769604,-451.195427104017,1
-457.545221064931,-455.628399387433,-456.056060192659,-457.545221064931,1
-487.673647130645,-486.251705109054,-493.18161525156,-493.18161525156,3
-501.263002406959,-499.54498012994,-498.301503785156,-501.263002406959,1
-486.173720884871,-484.627097638888,-486.789454777117,-486.789454777117,3
-542.249793833539,-541.310477920333,-539.592210568289,-542.249793833539,1
-609.968035670658,-613.682131170936,-612.131779872905,-613.682131170936,2
-497.875500730469,-495.960187143366,-495.557935159118,-497.875500730469,1
-450.388072080947,-448.487966565973,-446.490469691795,-450.388072080947,1
-576.627428284268,-577.53286070178,-575.608886193179,-577.53286070178,2
-505.080047883788,-503.083476364832,-503.55936799324,-505.080047883788,1
-469.583075438892,-470.332560842386,-468.356520064231,-470.332560842386,2
-482.983393252277,-484.209942419268,-485.564629128637,-485.564629128637,3
-457.754476231446,-456.57454982522,-458.202733149263,-458.202733149263,3
-468.660023351648,-468.131830171521,-469.092486216756,-469.092486216756,3
-496.307467419663,-495.486548330398,-493.49136772864,-496.307467419663,1
-470.100866539934,-468.109622820745,-467.440329010502,-470.100866539934,1
-398.070596036164,-396.473969297513,-394.809512669082,-398.070596036164,1
-451.656609665892,-451.961628784948,-454.092125920625,-454.092125920625,3
-438.427838651325,-436.451493780608,-434.465138068429,-438.427838651325,1
-441.973343630088,-440.173231404143,-438.293889814051,-441.973343630088,1
-492.353504415877,-490.417541838989,-491.066729809812,-492.353504415877,1
-509.092469448592,-511.521189529081,-510.209580732683,-511.521189529081,2
-469.571908693786,-467.636095501981,-465.857374158404,-469.571908693786,1
-466.805291451349,-465.011892706544,-468.328979452759,-468.328979452759,3
-454.634554691302,-452.63730504423,-452.498398410216,-454.634554691302,1
