"age1","age2","age3","minAIC","AIC"
-483.776949410809,-485.357982418992,-483.441669019411,-485.357982418992,2
-553.410223648177,-551.787749882687,-551.955177649734,-553.410223648177,1
-515.448264009595,-513.755072095211,-512.66190202665,-515.448264009595,1
-506.321288430299,-505.939970928792,-509.369861988922,-509.369861988922,3
-454.493406955695,-454.492341915374,-455.679093683829,-455.679093683829,3
-467.904460429049,-466.263890233628,-469.807167317936,-469.807167317936,3
-497.563125056213,-495.565675836565,-500.966448539193,-500.966448539193,3
-536.778958517093,-535.020694849186,-533.132524145235,-536.778958517093,1
-500.532826283022,-498.536315968892,-496.556156050133,-500.532826283022,1
-552.943766925673,-550.975221111076,-548.984474944505,-552.943766925673,1
-534.067464796158,-532.532462440384,-530.566635853952,-534.067464796158,1
-437.859506197682,-435.921451946807,-436.176168621872,-437.859506197682,1
-492.045230973083,-490.045733518717,-489.889098938643,-492.045230973083,1
-501.365431164865,-499.835948239722,-505.948532802351,-505.948532802351,3
-509.870718342379,-508.353485795248,-508.99676936366,-509.870718342379,1
-480.350285434504,-479.464760837487,-478.45174772938,-480.350285434504,1
-464.060290619974,-462.558081956901,-463.245349408335,-464.060290619974,1
-461.84679093946,-465.617395147311,-463.863576325238,-465.617395147311,2
-359.805572969357,-358.204678789013,-356.208127171622,-359.805572969357,1
-422.037598923077,-421.31099893687,-419.726381123805,-422.037598923077,1
-450.830259425613,-452.788329741934,-452.748969138229,-452.788329741934,2
-418.732262136841,-418.154140988984,-420.56061497315,-420.56061497315,3
-413.228466655714,-412.252775744106,-410.591247116117,-413.228466655714,1
-490.99375621617,-489.409293128595,-490.338904204252,-490.99375621617,1
-475.76950211184,-474.82621326219,-473.212715918003,-475.76950211184,1
-450.672551852782,-450.356495550245,-448.553714587266,-450.672551852782,1
-500.246273243695,-498.258201491373,-497.555547669094,-500.246273243695,1
-485.40168122218,-485.035370594535,-484.862250618112,-485.40168122218,1
-474.506372791226,-473.783436322786,-472.994655805606,-474.506372791226,1
-516.519940060415,-514.531728357158,-514.35961657307,-516.519940060415,1
