"age1","age2","age3","minAIC","AIC"
-322.260629819157,-334.614805360962,-332.728216874605,-334.614805360962,2
-304.051195214056,-328.774084633767,-326.848090158588,-328.774084633767,2
-301.441928847271,-334.36857949476,-333.140311737892,-334.36857949476,2
-295.616045647513,-313.462050561671,-312.113827992914,-313.462050561671,2
-293.933485131363,-311.486864971815,-309.832435832701,-311.486864971815,2
-264.086695906129,-284.132788101244,-282.368793529807,-284.132788101244,2
-316.358465147009,-337.597688976906,-335.60131415347,-337.597688976906,2
-292.434625853307,-311.872408631425,-311.057493565047,-311.872408631425,2
-330.549716851804,-363.43515487825,-361.527271528885,-363.43515487825,2
-360.204907125428,-384.624975018602,-383.066360430264,-384.624975018602,2
-310.763086691924,-333.329030000562,-332.568993440945,-333.329030000562,2
-247.032076430718,-260.491973154917,-260.114626967083,-260.491973154917,2
-327.245769142421,-341.569835787774,-340.127346971295,-341.569835787774,2
-251.220105137626,-258.151286837609,-256.281926300657,-258.151286837609,2
-335.82963866866,-357.036318869338,-355.044424405777,-357.036318869338,2
-302.428820813481,-325.004871824041,-324.923661704307,-325.004871824041,2
-312.64068329462,-324.797014570693,-322.815852792518,-324.797014570693,2
-295.442946103587,-315.793242499821,-314.675039972691,-315.793242499821,2
-219.857851992274,-232.786255661153,-231.548046043733,-232.786255661153,2
-281.962800688707,-298.40567166927,-297.69736875179,-298.40567166927,2
-233.015222522667,-254.476601489323,-252.665263476531,-254.476601489323,2
-269.336909460387,-284.918107852501,-283.319678847972,-284.918107852501,2
-278.538036196832,-310.410348978053,-309.398209358072,-310.410348978053,2
-303.660487510816,-320.918043609642,-319.23477130464,-320.918043609642,2
-331.355032112591,-356.345000569852,-354.814390169463,-356.345000569852,2
-325.262124650624,-352.096240066385,-350.509264403548,-352.096240066385,2
-289.089834766427,-308.646245194599,-307.057173220508,-308.646245194599,2
-280.66964042171,-308.355550257835,-306.930474519143,-308.355550257835,2
-315.586926463898,-344.859557335115,-343.354664662034,-344.859557335115,2
-290.197470398443,-314.700610517393,-313.068351184425,-314.700610517393,2
-346.252950739697,-373.686115298022,-372.198430215692,-373.686115298022,2
-296.318164367267,-325.20194725124,-324.833694388082,-325.20194725124,2
-300.469445874172,-323.443900692837,-321.823242796478,-323.443900692837,2
-262.551992937694,-285.952905310588,-284.080993012137,-285.952905310588,2
-262.532449183549,-276.308912846241,-274.359925311566,-276.308912846241,2
-307.740176254075,-327.998829788504,-326.699339472978,-327.998829788504,2
-291.429170063705,-306.99363030301,-305.791705779546,-306.99363030301,2
-342.367130398811,-353.003634935971,-352.574630757136,-353.003634935971,2
-268.208171018073,-288.985992212047,-287.125079914435,-288.985992212047,2
-232.9465247995,-252.708318177604,-250.996843858023,-252.708318177604,2
-236.723558904043,-252.696593451927,-251.744609753787,-252.696593451927,2
-257.737473712814,-260.386480211611,-258.420710314397,-260.386480211611,2
-327.708616427638,-356.134215869896,-354.38363335201,-356.134215869896,2
-342.299946383854,-358.18475046618,-356.289350780573,-358.18475046618,2
-318.850762801742,-351.06187191532,-349.224141608363,-351.06187191532,2
-258.005324231613,-274.045084702705,-275.118637486762,-275.118637486762,3
-242.885191076251,-255.866739008635,-256.312065498864,-256.312065498864,3
-276.80834072604,-285.113326927684,-284.293809731446,-285.113326927684,2
-301.637216307003,-318.474169003188,-317.952475495947,-318.474169003188,2
-293.385320771085,-309.360929281562,-308.08081132934,-309.360929281562,2
-285.345681535092,-303.392668566458,-302.664578142806,-303.392668566458,2
-308.378541837401,-342.202827476656,-341.212816259772,-342.202827476656,2
-334.022404256226,-363.462195110848,-362.315083149269,-363.462195110848,2
-287.330150600602,-313.664159353004,-313.134331029168,-313.664159353004,2
-293.307048882947,-309.008284987268,-307.429401774558,-309.008284987268,2
-334.976244280671,-358.773912457008,-357.579004510191,-358.773912457008,2
-316.244044111446,-323.689259619207,-322.101606676836,-323.689259619207,2
-231.823749910524,-248.556008620368,-247.362216389622,-248.556008620368,2
-219.117187684698,-227.177498889852,-226.162529258711,-227.177498889852,2
-231.250015199744,-257.435890061692,-255.994376286356,-257.435890061692,2
-272.921140314076,-286.073320565863,-284.496720129546,-286.073320565863,2
-316.599465820617,-336.988737042601,-335.078575334129,-336.988737042601,2
-310.380487791293,-333.255665642327,-331.406160414787,-333.255665642327,2
-385.280946238449,-421.189364482515,-420.353230705876,-421.189364482515,2
-253.085865106803,-264.412983512654,-263.152976471606,-264.412983512654,2
-269.403963772914,-280.114071853941,-278.652094733122,-280.114071853941,2
-226.688959790849,-247.774211833569,-246.166037949046,-247.774211833569,2
-303.584811352878,-314.009653690693,-312.0967449938,-314.009653690693,2
-291.330274627582,-301.716128774409,-299.73330366352,-301.716128774409,2
-278.426362846244,-287.266140602136,-285.945924035376,-287.266140602136,2
-272.025111103467,-282.009274857954,-281.011291135415,-282.009274857954,2
-344.13656098965,-364.162085488427,-364.573767145414,-364.573767145414,3
-277.786972014775,-301.209391990507,-299.65964468215,-301.209391990507,2
-292.345419897031,-318.347422697466,-316.369331359624,-318.347422697466,2
-273.846523261528,-289.615150330154,-288.175770683632,-289.615150330154,2
-272.935714698845,-282.996073159361,-281.823558943029,-282.996073159361,2
-286.590380194184,-303.336111623271,-301.429725283253,-303.336111623271,2
-280.26392189604,-293.364881197159,-291.387544043443,-293.364881197159,2
-283.79461333487,-304.387915325057,-302.400593055962,-304.387915325057,2
-289.908995731366,-304.417927043579,-302.486336855949,-304.417927043579,2
-300.327391703239,-312.63708241224,-311.369894049564,-312.63708241224,2
-291.525312466154,-309.942198779856,-308.819980796486,-309.942198779856,2
-303.640789116225,-321.538850853116,-321.275250618091,-321.538850853116,2
-298.871727593647,-333.335594954396,-333.282259720418,-333.335594954396,2
-303.550636787208,-324.203052216574,-323.226809551135,-324.203052216574,2
-290.628528403993,-317.127947710484,-315.792170392951,-317.127947710484,2
-290.722884129967,-322.950228815918,-321.939306952079,-322.950228815918,2
-317.155853416497,-340.028382707646,-338.487093043082,-340.028382707646,2
-320.628659657726,-343.049009598173,-341.492051958687,-343.049009598173,2
-369.148653900163,-390.917304185729,-389.784273270418,-390.917304185729,2
-362.386461346053,-391.61129634987,-390.861110117507,-391.61129634987,2
-305.442093446781,-327.902877674622,-326.135609282523,-327.902877674622,2
-326.725563340088,-351.984701261616,-350.316789346964,-351.984701261616,2
-309.508026961402,-334.709930678784,-332.795127906823,-334.709930678784,2
-300.33281253901,-325.076682746319,-324.231599934504,-325.076682746319,2
-272.465083463542,-292.990986911463,-293.282243286966,-293.282243286966,3
-299.55965791537,-314.837361795615,-312.865033147662,-314.837361795615,2
-326.823993088108,-350.722251844705,-349.556985044456,-350.722251844705,2
-292.481769559638,-312.783433744979,-311.324426154724,-312.783433744979,2
-281.382755828917,-306.419715348749,-304.90912109756,-306.419715348749,2
-286.506108968993,-309.941085313667,-308.714440127992,-309.941085313667,2
-297.922575024139,-324.584372135748,-322.926815701996,-324.584372135748,2
-305.961039144654,-331.715149893804,-329.756047820757,-331.715149893804,2
-336.081257742856,-363.347479899045,-362.313084098522,-363.347479899045,2
-368.951241222741,-403.026256352901,-401.535109528116,-403.026256352901,2
-294.560517677315,-313.026051723945,-311.269063224961,-313.026051723945,2
-315.881029453529,-347.816813783899,-345.931564343431,-347.816813783899,2
-322.484177150646,-352.529220499969,-350.61627360296,-352.529220499969,2
-318.380976749656,-352.574099654046,-350.83731546831,-352.574099654046,2
-336.139898397998,-366.45772152269,-364.900102777771,-366.45772152269,2
-322.156610597879,-346.254686932603,-344.415222776696,-346.254686932603,2
-283.931472194976,-307.55338091089,-305.660514309618,-307.55338091089,2
-350.906594795007,-383.521361118472,-381.570491033974,-383.521361118472,2
-340.183695946054,-365.597004556321,-363.637471399103,-365.597004556321,2
-297.209694180158,-329.395045630468,-327.548949335601,-329.395045630468,2
-292.882788044394,-320.20142466724,-319.615937584269,-320.20142466724,2
-316.324343670126,-348.09766975154,-346.230747426685,-348.09766975154,2
-287.19861045647,-323.247004363216,-323.677590534642,-323.677590534642,3
-280.021448549336,-311.225588868228,-310.227052617767,-311.225588868228,2
-304.979136211521,-320.552937567607,-319.189312829802,-320.552937567607,2
-305.697491294897,-316.627443947735,-315.149586373338,-316.627443947735,2
-294.027941787661,-300.592703359413,-298.599024691099,-300.592703359413,2
-309.645281623379,-340.462649642882,-338.837952578113,-340.462649642882,2
-316.161702753487,-333.935042897315,-332.200264341503,-333.935042897315,2
-293.841075545796,-311.841646895484,-310.066705082972,-311.841646895484,2
-271.742247871642,-293.635387854812,-291.865138766862,-293.635387854812,2
-304.879479869384,-328.954254710715,-327.032337819763,-328.954254710715,2
-271.26754027771,-302.557550623414,-300.808837571774,-302.557550623414,2
-317.460505669169,-336.890386400107,-335.219075408309,-336.890386400107,2
-277.926595560413,-308.865301447949,-307.472964304465,-308.865301447949,2
-272.133084278692,-298.492338541261,-296.72560989497,-298.492338541261,2
-299.813731967588,-329.422929438543,-327.50675793337,-329.422929438543,2
-315.789183489429,-335.311730904508,-334.740178506044,-335.311730904508,2
-319.748242032345,-331.485563215333,-331.375276290241,-331.485563215333,2
-309.970117654461,-335.719791384668,-334.144955110597,-335.719791384668,2
-309.255501331879,-337.474118833463,-335.638582872489,-337.474118833463,2
-291.324522057178,-301.563135100138,-303.138677124898,-303.138677124898,3
-291.820471593323,-300.247464463988,-301.233526984068,-301.233526984068,3
-337.168177439879,-351.128235073701,-355.254912454275,-355.254912454275,3
-280.235590052626,-299.618225343023,-297.753491417352,-299.618225343023,2
-247.123222511216,-267.495426945158,-266.138810440377,-267.495426945158,2
-260.930524617198,-287.572914029063,-286.61015167556,-287.572914029063,2
-273.597501160894,-290.98338144186,-289.184082329967,-290.98338144186,2
-266.495848442447,-280.17583851463,-278.593060794218,-280.17583851463,2
-261.788139735193,-288.736183816863,-288.285796161231,-288.736183816863,2
-236.859129848252,-254.477678399709,-252.842704688641,-254.477678399709,2
-236.309099903176,-259.304781350588,-257.510272032836,-259.304781350588,2
-243.022446046818,-261.068489214177,-260.651305324649,-261.068489214177,2
-247.906461572747,-265.769253535439,-264.153501868679,-265.769253535439,2
-264.207080438092,-286.098638329072,-286.357490944935,-286.357490944935,3
-236.448282830644,-249.026184570493,-248.544009009804,-249.026184570493,2
-246.058207868395,-262.147573793879,-260.807487513778,-262.147573793879,2
-231.836199166903,-253.034670310781,-251.099873769849,-253.034670310781,2
-283.889835861686,-306.956439323207,-305.300229578961,-306.956439323207,2
-297.811607233567,-310.757396567268,-309.374327955759,-310.757396567268,2
-262.27867986336,-279.946892174473,-278.107243121945,-279.946892174473,2
-296.075926771022,-314.817058267462,-312.852896698083,-314.817058267462,2
-312.749487014285,-318.723153855576,-316.748498419351,-318.723153855576,2
-293.591563282834,-313.1171409019,-311.1879781642,-313.1171409019,2
-292.906552006369,-300.271406100452,-298.445844934563,-300.271406100452,2
-153.142310977974,-159.255971733668,-157.789124391776,-159.255971733668,2
-290.644713296573,-302.756447407772,-302.423220675615,-302.756447407772,2
-315.902023295934,-344.973468046989,-343.452302354099,-344.973468046989,2
-332.294867732761,-360.524591219027,-358.868312913928,-360.524591219027,2
-311.593120269254,-339.642079411705,-338.160889217551,-339.642079411705,2
-350.632612979368,-362.003410882259,-360.510006289594,-362.003410882259,2
-340.180252805144,-358.633534000158,-356.816894660238,-358.633534000158,2
-349.443889943421,-361.87434076352,-360.100712951801,-361.87434076352,2
-348.538614730484,-365.232250001618,-363.538944062054,-365.232250001618,2
-342.394027902335,-356.35581340385,-354.397868981591,-356.35581340385,2
-330.423178386666,-361.480364400072,-359.836526899833,-361.480364400072,2
-271.304489575221,-282.18274277402,-283.222207969171,-283.222207969171,3
-261.656491861144,-273.144675487239,-274.442634697282,-274.442634697282,3
-290.6206763586,-298.646134271812,-298.348620017206,-298.646134271812,2
-241.353800268423,-254.759955825919,-254.568020200108,-254.759955825919,2
