"age1","age2","age3","minAIC","AIC"
-433.010367885774,-440.960599440423,-440.008446960548,-440.960599440423,2
-450.2694480741,-471.352081288611,-472.104247929795,-472.104247929795,3
-417.750337095066,-444.3211212852,-442.615318846964,-444.3211212852,2
-424.530621301761,-449.89890496594,-448.537708262917,-449.89890496594,2
-452.454582636241,-468.331346473491,-468.341636406422,-468.341636406422,3
-380.484527948052,-408.697644050639,-406.710416620365,-408.697644050639,2
-392.455378227242,-406.102803435706,-407.258541197209,-407.258541197209,3
-415.936172030063,-435.53900274833,-438.162018708854,-438.162018708854,3
-378.933214890635,-401.985118397217,-400.095054900265,-401.985118397217,2
-381.824351046221,-399.593933639714,-398.111019084476,-399.593933639714,2
-435.26282904268,-442.161983754168,-440.164981047063,-442.161983754168,2
-465.544970679111,-488.912065777389,-487.336361603009,-488.912065777389,2
-408.530525841619,-411.739589408119,-410.170925047892,-411.739589408119,2
-450.683302648808,-467.507297908464,-468.270767582622,-468.270767582622,3
-399.031389151454,-412.475617484398,-411.070305112477,-412.475617484398,2
-400.501753725725,-433.387816764666,-432.020625837316,-433.387816764666,2
-515.077858728948,-529.776914272261,-527.828908119031,-529.776914272261,2
-421.281708798327,-444.266919978428,-442.386448434527,-444.266919978428,2
-470.677131063756,-481.55612071177,-480.413760342055,-481.55612071177,2
-422.353036886295,-447.813346215386,-446.400706939559,-447.813346215386,2
-283.26498615474,-297.988488526012,-297.104272976494,-297.988488526012,2
-418.011245520331,-439.429174978353,-438.798253056441,-439.429174978353,2
-442.930677859094,-468.399906645996,-467.694037237589,-468.399906645996,2
-420.956719389152,-452.118252334809,-452.362626290981,-452.362626290981,3
-402.217036136383,-418.583237259233,-417.340550665395,-418.583237259233,2
-405.980162453905,-435.375802433069,-435.722077734346,-435.722077734346,3
-432.607871084617,-451.728236548118,-450.284800984103,-451.728236548118,2
-439.446508470378,-464.900952601424,-465.522950923312,-465.522950923312,3
-411.700214597381,-436.185454504928,-434.760338860168,-436.185454504928,2
-429.824730792202,-453.507120899222,-453.368832844528,-453.507120899222,2
-392.976386198464,-422.5836094465,-423.562796438993,-423.562796438993,3
-427.312420113051,-454.000133257945,-453.283678753047,-454.000133257945,2
-418.047793905988,-442.299356629197,-442.056007817435,-442.299356629197,2
-457.777348007896,-478.707273875367,-479.603128956799,-479.603128956799,3
-313.96784811724,-336.759490901765,-336.903804954034,-336.903804954034,3
-392.370553563277,-410.729140608867,-409.277925323551,-410.729140608867,2
-392.510039981099,-408.887878825987,-408.155443754409,-408.887878825987,2
-410.661240586631,-420.859895254366,-419.601195722599,-420.859895254366,2
-370.790401297951,-385.672955317422,-386.704720518993,-386.704720518993,3
-396.643560404505,-411.787618128326,-409.934712842059,-411.787618128326,2
-408.23101682803,-421.154233387061,-421.260314465263,-421.260314465263,3
-441.314482620216,-453.440998744216,-452.711318231299,-453.440998744216,2
-471.651441127043,-484.274783457673,-482.588446223139,-484.274783457673,2
-384.552825629299,-395.429690390776,-394.16784551264,-395.429690390776,2
-431.088600320393,-443.966449986957,-442.188812619934,-443.966449986957,2
-437.797782106536,-454.856407367774,-455.055620835054,-455.055620835054,3
-463.3197481771,-489.08932097565,-487.878878446194,-489.08932097565,2
-396.075465229606,-426.87873123193,-424.887608611708,-426.87873123193,2
-385.403842861099,-402.045432417527,-400.34643119203,-402.045432417527,2
-404.418338916193,-426.992166662216,-425.280441320985,-426.992166662216,2
-380.775419146675,-410.17378962089,-409.056228969503,-410.17378962089,2
-414.733146733187,-442.473053735883,-441.616821907296,-442.473053735883,2
-523.903219315664,-538.66615176679,-536.941505616052,-538.66615176679,2
-397.063961065109,-426.750190106438,-424.851883400229,-426.750190106438,2
-402.972001221505,-434.795713839062,-432.876099191079,-434.795713839062,2
-504.775620734805,-525.166241316463,-523.301311095035,-525.166241316463,2
-467.929646050689,-471.163035591567,-469.219673087135,-471.163035591567,2
-456.399969666644,-476.983078551035,-476.240095520683,-476.983078551035,2
-491.928055510372,-504.330122813667,-502.485513741814,-504.330122813667,2
-449.798127483088,-466.073516224334,-464.838107777937,-466.073516224334,2
-396.778329568227,-427.893382258074,-426.023908238652,-427.893382258074,2
-455.530932897184,-480.174694403803,-478.175109147919,-480.174694403803,2
-488.462955368524,-500.40985693521,-498.410013117324,-500.40985693521,2
-416.157131553048,-432.05946120533,-430.441644925736,-432.05946120533,2
-441.873019848543,-454.439499449137,-452.590049447532,-454.439499449137,2
-376.195565799963,-404.69185317557,-402.875967506105,-404.69185317557,2
-377.497460223194,-398.890665130444,-397.709314949063,-398.890665130444,2
-442.329895456195,-459.911676131912,-458.713221864228,-459.911676131912,2
-369.92468861336,-393.215497156709,-391.468018494893,-393.215497156709,2
-443.703912743053,-462.227462274109,-462.723300764205,-462.723300764205,3
-414.55983540284,-430.243852794635,-430.090136058783,-430.243852794635,2
-332.385617943325,-349.797185720791,-347.808818084503,-349.797185720791,2
-430.181353497259,-457.188449374497,-455.515822511763,-457.188449374497,2
-424.901451227532,-453.079006556905,-451.606142704063,-453.079006556905,2
-412.781396217617,-436.757432757211,-435.414994783347,-436.757432757211,2
-412.020400693393,-437.60450221181,-436.206934057833,-437.60450221181,2
-423.922523548443,-442.199767219586,-441.359138673092,-442.199767219586,2
-436.61667384418,-457.96741236364,-456.829108745146,-457.96741236364,2
-449.028687019874,-476.89773701931,-475.641501596842,-476.89773701931,2
-434.979606693127,-464.319521844137,-464.526938770131,-464.526938770131,3
