"age1","age2","age3","minAIC","AIC"
-499.655355608313,-509.784655781445,-507.785266591208,-509.784655781445,2
-438.263621641793,-454.961662603385,-454.346787349921,-454.961662603385,2
-446.338584325106,-474.379093548961,-472.798402938693,-474.379093548961,2
-432.664354766306,-452.190395851065,-453.260290643052,-453.260290643052,3
-431.749966922698,-452.238005710361,-451.925613178754,-452.238005710361,2
-375.985836755414,-396.433118638972,-394.61283594003,-396.433118638972,2
-409.021350784711,-418.085446135037,-419.377396188739,-419.377396188739,3
-412.749635060038,-431.550271445609,-430.936216394762,-431.550271445609,2
-389.103738990554,-410.166050280948,-408.245297656753,-410.166050280948,2
-396.290227787218,-411.082371424441,-409.836162857069,-411.082371424441,2
-448.933990165466,-464.62076249047,-462.986029857351,-464.62076249047,2
-464.751754828689,-481.659941660729,-482.094212873597,-482.094212873597,3
-418.232905585746,-430.185678914365,-430.907279970421,-430.907279970421,3
-465.263935354043,-484.714192388191,-487.206519709564,-487.206519709564,3
-413.669377208345,-426.51368826923,-426.026422830019,-426.51368826923,2
-404.861054422495,-428.944126917221,-428.489392770946,-428.944126917221,2
-512.575640639526,-522.322061947083,-520.346051917583,-522.322061947083,2
-449.072836771371,-465.563738553308,-464.999452887429,-465.563738553308,2
-483.348110388181,-497.865281640594,-496.509197019892,-497.865281640594,2
-426.513958035211,-453.583504863559,-451.599607117449,-453.583504863559,2
-274.997452571625,-294.342908916393,-292.606763111228,-294.342908916393,2
-397.477433926304,-420.47362779109,-419.299911430732,-420.47362779109,2
-433.672844386317,-463.96602313845,-462.513912127496,-463.96602313845,2
-424.349100437986,-448.512092546252,-448.188833239267,-448.512092546252,2
-416.62927756539,-435.046010365583,-433.441771548618,-435.046010365583,2
-401.809889599409,-433.168693342781,-431.787551644059,-433.168693342781,2
-445.379557299216,-464.107024749318,-463.736679538931,-464.107024749318,2
-438.092844252371,-460.909780976722,-461.672846115007,-461.672846115007,3
-385.757634862532,-405.308543783556,-404.376464365493,-405.308543783556,2
-412.511777415247,-433.382414951283,-432.764239063123,-433.382414951283,2
-385.903767231854,-412.70461414198,-411.474784845106,-412.70461414198,2
-420.652203740315,-450.164492081972,-449.228129653755,-450.164492081972,2
-419.782488757971,-438.97863185354,-436.991875157072,-438.97863185354,2
-453.383329724968,-468.069912605394,-468.27646573124,-468.27646573124,3
-299.078114676466,-318.16845672293,-316.168733261618,-318.16845672293,2
-401.978975110822,-419.441155050465,-421.44310856333,-421.44310856333,3
-395.218224463406,-408.406186482035,-407.530219254624,-408.406186482035,2
-417.594688622379,-424.784951984158,-424.109157974661,-424.784951984158,2
-373.333835895487,-396.061783236891,-398.682996126373,-398.682996126373,3
-407.542476783528,-428.112685819242,-426.659378761759,-428.112685819242,2
-381.389559999636,-398.174709393209,-398.378172359382,-398.378172359382,3
-407.293902290324,-420.637642618372,-418.65835888046,-420.637642618372,2
-473.862013974914,-487.52989278422,-486.263507272042,-487.52989278422,2
-412.536474305207,-428.061100086348,-427.469577804038,-428.061100086348,2
-443.884416322502,-462.714192235525,-463.35479485514,-463.35479485514,3
-427.774270855292,-445.434596173865,-444.550647338728,-445.434596173865,2
-467.641803764066,-487.535248666336,-489.250262828148,-489.250262828148,3
-392.789063737518,-414.130480548541,-414.791720108907,-414.791720108907,3
-387.638523803931,-414.529612512542,-413.744302111289,-414.529612512542,2
-423.006400048541,-438.553500687037,-437.910989176965,-438.553500687037,2
-419.791268876401,-453.531067288246,-454.253180120406,-454.253180120406,3
-429.296467085738,-458.505599093057,-457.160978279243,-458.505599093057,2
-509.864409707404,-526.62756324539,-524.689345533057,-526.62756324539,2
-417.766112267384,-439.774780604344,-437.808922449805,-439.774780604344,2
-401.969767455162,-426.740520393627,-424.859981616193,-426.740520393627,2
-479.413045082218,-492.899705927574,-491.143770338251,-492.899705927574,2
-493.867688634443,-500.040094669267,-498.338611305982,-500.040094669267,2
-455.25568629343,-470.363467754649,-469.190679321792,-470.363467754649,2
-493.956702252309,-505.040096514177,-503.158954935014,-505.040096514177,2
-461.305816411702,-482.647977999837,-481.880193894158,-482.647977999837,2
-410.416139429178,-428.554117595163,-428.280118855373,-428.554117595163,2
-472.518376485969,-489.971946852211,-488.247756644933,-489.971946852211,2
-503.322145677719,-514.763640793418,-512.817666823131,-514.763640793418,2
-437.976704276075,-456.489626883806,-455.362238185123,-456.489626883806,2
