"","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value"
"1",NA,"BSC left",0.01,"F-statistic",6.73015620870943,NA,"BSC right",0.01,"F-statistic",7.10407878862672,NA,"GWC left",0.01,"F-statistic",4.97161446273579,NA,"GWC right",0.01,"F-statistic",4.96731262303345,NA,"CT left",0.01,"F-statistic",4.86102557914778,NA,"CT right",0.01,"F-statistic",4.92217715752955,NA,"t1t2_ratio_25_GM left",0.01,"F-statistic",6.02191955686769,NA,"t1t2_ratio_25_GM right",0.01,"F-statistic",5.70004607156482,NA,"t1t2_ratio_25_WM left",0.01,"F-statistic",4.90551711434327,NA,"t1t2_ratio_25_WM right",0.01,"F-statistic",4.89500115496963,NA,"t1t2_ratio_50_GM left",0.01,"F-statistic",5.62274159500843,NA,"t1t2_ratio_50_GM right",0.01,"F-statistic",5.56574521005411
"2",NA,"BSC left",0.05,"F-statistic",4.36316434401106,NA,"BSC right",0.05,"F-statistic",4.5741857852119,NA,"GWC left",0.05,"F-statistic",3.19089449414355,NA,"GWC right",0.05,"F-statistic",3.19228739498376,NA,"CT left",0.05,"F-statistic",3.1212545348912,NA,"CT right",0.05,"F-statistic",3.15292640726098,NA,"t1t2_ratio_25_GM left",0.05,"F-statistic",3.63037986769681,NA,"t1t2_ratio_25_GM right",0.05,"F-statistic",3.58925593009328,NA,"t1t2_ratio_25_WM left",0.05,"F-statistic",3.12933878593737,NA,"t1t2_ratio_25_WM right",0.05,"F-statistic",3.13537703184099,NA,"t1t2_ratio_50_GM left",0.05,"F-statistic",3.44405337532227,NA,"t1t2_ratio_50_GM right",0.05,"F-statistic",3.44903266047601
"3",NA,"BSC left",0.1,"F-statistic",3.38667046051341,NA,"BSC right",0.1,"F-statistic",3.41749347422429,NA,"GWC left",0.1,"F-statistic",2.43941181193607,NA,"GWC right",0.1,"F-statistic",2.44295065431304,NA,"CT left",0.1,"F-statistic",2.38382858523648,NA,"CT right",0.1,"F-statistic",2.40913542364638,NA,"t1t2_ratio_25_GM left",0.1,"F-statistic",2.74534755445808,NA,"t1t2_ratio_25_GM right",0.1,"F-statistic",2.75597538594706,NA,"t1t2_ratio_25_WM left",0.1,"F-statistic",2.38231026860685,NA,"t1t2_ratio_25_WM right",0.1,"F-statistic",2.39421894089918,NA,"t1t2_ratio_50_GM left",0.1,"F-statistic",2.58289105005601,NA,"t1t2_ratio_50_GM right",0.1,"F-statistic",2.62967449848867
"4",NA,"BSC left",0.15,"F-statistic",2.81525439388194,NA,"BSC right",0.15,"F-statistic",2.75133910041769,NA,"GWC left",0.15,"F-statistic",2.00125009631821,NA,"GWC right",0.15,"F-statistic",2.00782216337533,NA,"CT left",0.15,"F-statistic",1.96278239254973,NA,"CT right",0.15,"F-statistic",1.97589091868643,NA,"t1t2_ratio_25_GM left",0.15,"F-statistic",2.25668475502802,NA,"t1t2_ratio_25_GM right",0.15,"F-statistic",2.27215498209316,NA,"t1t2_ratio_25_WM left",0.15,"F-statistic",1.95300834189929,NA,"t1t2_ratio_25_WM right",0.15,"F-statistic",1.96388116549268,NA,"t1t2_ratio_50_GM left",0.15,"F-statistic",2.10791576066298,NA,"t1t2_ratio_50_GM right",0.15,"F-statistic",2.15236662893207
"5",NA,"BSC left",0.2,"F-statistic",2.39812625271446,NA,"BSC right",0.2,"F-statistic",2.28800102530844,NA,"GWC left",0.2,"F-statistic",1.69452387190506,NA,"GWC right",0.2,"F-statistic",1.70756413827716,NA,"CT left",0.2,"F-statistic",1.65372999174831,NA,"CT right",0.2,"F-statistic",1.67685837179201,NA,"t1t2_ratio_25_GM left",0.2,"F-statistic",1.91613945865939,NA,"t1t2_ratio_25_GM right",0.2,"F-statistic",1.92240227886496,NA,"t1t2_ratio_25_WM left",0.2,"F-statistic",1.64952776822802,NA,"t1t2_ratio_25_WM right",0.2,"F-statistic",1.66350156371174,NA,"t1t2_ratio_50_GM left",0.2,"F-statistic",1.78057600107152,NA,"t1t2_ratio_50_GM right",0.2,"F-statistic",1.81734156348892
"6",NA,"BSC left",0.01,"tvalue-(Intercept)",3.54354050268552,NA,"BSC right",0.01,"tvalue-(Intercept)",3.60544845725529,NA,"GWC left",0.01,"tvalue-(Intercept)",2.71909355983742,NA,"GWC right",0.01,"tvalue-(Intercept)",2.70547974646814,NA,"CT left",0.01,"tvalue-(Intercept)",2.66398151334835,NA,"CT right",0.01,"tvalue-(Intercept)",2.70610936519637,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-(Intercept)",3.32279251070451,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-(Intercept)",3.1471190362423,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-(Intercept)",2.67005808910648,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-(Intercept)",2.67771631751909,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-(Intercept)",3.32782017767718,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-(Intercept)",3.23267114007143
"7",NA,"BSC left",0.05,"tvalue-(Intercept)",2.81116204300485,NA,"BSC right",0.05,"tvalue-(Intercept)",2.88471252547991,NA,"GWC left",0.05,"tvalue-(Intercept)",2.06090480499188,NA,"GWC right",0.05,"tvalue-(Intercept)",2.05383223387305,NA,"CT left",0.05,"tvalue-(Intercept)",2.01620908608305,NA,"CT right",0.05,"tvalue-(Intercept)",2.04511063963608,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-(Intercept)",2.56287864502633,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-(Intercept)",2.3241986055083,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-(Intercept)",2.01174062689713,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-(Intercept)",2.01810603447459,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-(Intercept)",2.53251248915404,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-(Intercept)",2.36851765648725
"8",NA,"BSC left",0.1,"tvalue-(Intercept)",2.40462290201325,NA,"BSC right",0.1,"tvalue-(Intercept)",2.48788799240883,NA,"GWC left",0.1,"tvalue-(Intercept)",1.7303649099821,NA,"GWC right",0.1,"tvalue-(Intercept)",1.72659604537056,NA,"CT left",0.1,"tvalue-(Intercept)",1.69065757501455,NA,"CT right",0.1,"tvalue-(Intercept)",1.71195241182917,NA,"t1t2_ratio_25_GM left",0.1,"tvalue-(Intercept)",2.17222415556426,NA,"t1t2_ratio_25_GM right",0.1,"tvalue-(Intercept)",1.94384525315973,NA,"t1t2_ratio_25_WM left",0.1,"tvalue-(Intercept)",1.67858291283548,NA,"t1t2_ratio_25_WM right",0.1,"tvalue-(Intercept)",1.68703053234419,NA,"t1t2_ratio_50_GM left",0.1,"tvalue-(Intercept)",2.11417748997412,NA,"t1t2_ratio_50_GM right",0.1,"tvalue-(Intercept)",1.95132129879054
"9",NA,"BSC left",0.15,"tvalue-(Intercept)",2.15544434118018,NA,"BSC right",0.15,"tvalue-(Intercept)",2.19493654571169,NA,"GWC left",0.15,"tvalue-(Intercept)",1.51575343024917,NA,"GWC right",0.15,"tvalue-(Intercept)",1.51410731322658,NA,"CT left",0.15,"tvalue-(Intercept)",1.47929682148087,NA,"CT right",0.15,"tvalue-(Intercept)",1.49706589757729,NA,"t1t2_ratio_25_GM left",0.15,"tvalue-(Intercept)",1.90646601094862,NA,"t1t2_ratio_25_GM right",0.15,"tvalue-(Intercept)",1.70458634986928,NA,"t1t2_ratio_25_WM left",0.15,"tvalue-(Intercept)",1.46383881421265,NA,"t1t2_ratio_25_WM right",0.15,"tvalue-(Intercept)",1.47580487039495,NA,"t1t2_ratio_50_GM left",0.15,"tvalue-(Intercept)",1.84570307268439,NA,"t1t2_ratio_50_GM right",0.15,"tvalue-(Intercept)",1.69709844698931
"10",NA,"BSC left",0.2,"tvalue-(Intercept)",1.96092856730453,NA,"BSC right",0.2,"tvalue-(Intercept)",1.96677476710115,NA,"GWC left",0.2,"tvalue-(Intercept)",1.35104225584357,NA,"GWC right",0.2,"tvalue-(Intercept)",1.35171331869646,NA,"CT left",0.2,"tvalue-(Intercept)",1.31699646289882,NA,"CT right",0.2,"tvalue-(Intercept)",1.3321038297256,NA,"t1t2_ratio_25_GM left",0.2,"tvalue-(Intercept)",1.6957432760907,NA,"t1t2_ratio_25_GM right",0.2,"tvalue-(Intercept)",1.52796279988185,NA,"t1t2_ratio_25_WM left",0.2,"tvalue-(Intercept)",1.30125557899533,NA,"t1t2_ratio_25_WM right",0.2,"tvalue-(Intercept)",1.31204608459106,NA,"t1t2_ratio_50_GM left",0.2,"tvalue-(Intercept)",1.63297723760186,NA,"t1t2_ratio_50_GM right",0.2,"tvalue-(Intercept)",1.50688579433487
