"","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value"
"1",NA,"BSC left",0.01,"F-statistic",4.37032739654847,NA,"BSC right",0.01,"F-statistic",4.55766987325401,NA,"GWC left",0.01,"F-statistic",4.1007703907726,NA,"GWC right",0.01,"F-statistic",4.09690837001623,NA,"CT left",0.01,"F-statistic",4.00648292446862,NA,"CT right",0.01,"F-statistic",4.06055648632282,NA,"t1t2_ratio_25_GM left",0.01,"F-statistic",3.95879701170386,NA,"t1t2_ratio_25_GM right",0.01,"F-statistic",3.95884906340472,NA,"t1t2_ratio_25_WM left",0.01,"F-statistic",3.95152805572587,NA,"t1t2_ratio_25_WM right",0.01,"F-statistic",3.95367330782368,NA,"t1t2_ratio_50_GM left",0.01,"F-statistic",3.98513123612666,NA,"t1t2_ratio_50_GM right",0.01,"F-statistic",3.99702996850244
"2",NA,"BSC left",0.05,"F-statistic",2.86967274541375,NA,"BSC right",0.05,"F-statistic",2.97247797757065,NA,"GWC left",0.05,"F-statistic",2.7776686698485,NA,"GWC right",0.05,"F-statistic",2.77522880944443,NA,"CT left",0.05,"F-statistic",2.71382480233294,NA,"CT right",0.05,"F-statistic",2.74244594536676,NA,"t1t2_ratio_25_GM left",0.05,"F-statistic",2.70237499150821,NA,"t1t2_ratio_25_GM right",0.05,"F-statistic",2.68190226472209,NA,"t1t2_ratio_25_WM left",0.05,"F-statistic",2.83146713723034,NA,"t1t2_ratio_25_WM right",0.05,"F-statistic",2.68274662898854,NA,"t1t2_ratio_50_GM left",0.05,"F-statistic",2.69167757284531,NA,"t1t2_ratio_50_GM right",0.05,"F-statistic",2.69310057590066
"3",NA,"BSC left",0.1,"F-statistic",2.26067938821785,NA,"BSC right",0.1,"F-statistic",2.32869340409398,NA,"GWC left",0.1,"F-statistic",2.19963090864138,NA,"GWC right",0.1,"F-statistic",2.20550722449729,NA,"CT left",0.1,"F-statistic",2.15362463966773,NA,"CT right",0.1,"F-statistic",2.17410191722716,NA,"t1t2_ratio_25_GM left",0.1,"F-statistic",2.13261319607011,NA,"t1t2_ratio_25_GM right",0.1,"F-statistic",2.19637714726138,NA,"t1t2_ratio_25_WM left",0.1,"F-statistic",2.54793037122791,NA,"t1t2_ratio_25_WM right",0.1,"F-statistic",2.14459582810745,NA,"t1t2_ratio_50_GM left",0.1,"F-statistic",2.13471171660677,NA,"t1t2_ratio_50_GM right",0.1,"F-statistic",2.13590660847886
"4",NA,"BSC left",0.15,"F-statistic",1.90521858107148,NA,"BSC right",0.15,"F-statistic",1.95820722136139,NA,"GWC left",0.15,"F-statistic",1.85924609057658,NA,"GWC right",0.15,"F-statistic",1.87079014605059,NA,"CT left",0.15,"F-statistic",1.82374396549119,NA,"CT right",0.15,"F-statistic",1.84062985439284,NA,"t1t2_ratio_25_GM left",0.15,"F-statistic",1.81362568093106,NA,"t1t2_ratio_25_GM right",0.15,"F-statistic",2.08915420616865,NA,"t1t2_ratio_25_WM left",0.15,"F-statistic",2.54793037122791,NA,"t1t2_ratio_25_WM right",0.15,"F-statistic",1.81848248885335,NA,"t1t2_ratio_50_GM left",0.15,"F-statistic",1.80894388845255,NA,"t1t2_ratio_50_GM right",0.15,"F-statistic",1.82191852528637
"5",NA,"BSC left",0.2,"F-statistic",1.65386319198542,NA,"BSC right",0.2,"F-statistic",1.69817077943974,NA,"GWC left",0.2,"F-statistic",1.6147337897988,NA,"GWC right",0.2,"F-statistic",1.62829012913093,NA,"CT left",0.2,"F-statistic",1.59024715922081,NA,"CT right",0.2,"F-statistic",1.60062690415517,NA,"t1t2_ratio_25_GM left",0.2,"F-statistic",1.57170326611646,NA,"t1t2_ratio_25_GM right",0.2,"F-statistic",2.08915420616865,NA,"t1t2_ratio_25_WM left",0.2,"F-statistic",2.54793037122791,NA,"t1t2_ratio_25_WM right",0.2,"F-statistic",1.81848248885335,NA,"t1t2_ratio_50_GM left",0.2,"F-statistic",1.5716191220501,NA,"t1t2_ratio_50_GM right",0.2,"F-statistic",1.57328811375816
"6",NA,"BSC left",0.01,"tvalue-(Intercept)",NA,NA,"BSC right",0.01,"tvalue-(Intercept)",NA,NA,"GWC left",0.01,"tvalue-(Intercept)",NA,NA,"GWC right",0.01,"tvalue-(Intercept)",NA,NA,"CT left",0.01,"tvalue-(Intercept)",NA,NA,"CT right",0.01,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-(Intercept)",NA
"7",NA,"BSC left",0.05,"tvalue-(Intercept)",NA,NA,"BSC right",0.05,"tvalue-(Intercept)",NA,NA,"GWC left",0.05,"tvalue-(Intercept)",NA,NA,"GWC right",0.05,"tvalue-(Intercept)",NA,NA,"CT left",0.05,"tvalue-(Intercept)",4.04098073994487,NA,"CT right",0.05,"tvalue-(Intercept)",4.02141168139505,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-(Intercept)",NA
"8",NA,"BSC left",0.1,"tvalue-(Intercept)",NA,NA,"BSC right",0.1,"tvalue-(Intercept)",NA,NA,"GWC left",0.1,"tvalue-(Intercept)",NA,NA,"GWC right",0.1,"tvalue-(Intercept)",NA,NA,"CT left",0.1,"tvalue-(Intercept)",3.71953965885465,NA,"CT right",0.1,"tvalue-(Intercept)",3.73088797643772,NA,"t1t2_ratio_25_GM left",0.1,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_GM right",0.1,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM left",0.1,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM right",0.1,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM left",0.1,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM right",0.1,"tvalue-(Intercept)",NA
"9",NA,"BSC left",0.15,"tvalue-(Intercept)",NA,NA,"BSC right",0.15,"tvalue-(Intercept)",NA,NA,"GWC left",0.15,"tvalue-(Intercept)",NA,NA,"GWC right",0.15,"tvalue-(Intercept)",NA,NA,"CT left",0.15,"tvalue-(Intercept)",3.55853075065559,NA,"CT right",0.15,"tvalue-(Intercept)",3.5902120310917,NA,"t1t2_ratio_25_GM left",0.15,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_GM right",0.15,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM left",0.15,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM right",0.15,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM left",0.15,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM right",0.15,"tvalue-(Intercept)",NA
"10",NA,"BSC left",0.2,"tvalue-(Intercept)",NA,NA,"BSC right",0.2,"tvalue-(Intercept)",NA,NA,"GWC left",0.2,"tvalue-(Intercept)",NA,NA,"GWC right",0.2,"tvalue-(Intercept)",NA,NA,"CT left",0.2,"tvalue-(Intercept)",3.43816197069849,NA,"CT right",0.2,"tvalue-(Intercept)",3.46295878467035,NA,"t1t2_ratio_25_GM left",0.2,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_GM right",0.2,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM left",0.2,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_25_WM right",0.2,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM left",0.2,"tvalue-(Intercept)",NA,NA,"t1t2_ratio_50_GM right",0.2,"tvalue-(Intercept)",NA
"11",NA,"BSC left",0.01,"tvalue-poly(age, 2)1",3.22013750431568,NA,"BSC right",0.01,"tvalue-poly(age, 2)1",3.31508772707982,NA,"GWC left",0.01,"tvalue-poly(age, 2)1",2.67783690006826,NA,"GWC right",0.01,"tvalue-poly(age, 2)1",2.68046438050125,NA,"CT left",0.01,"tvalue-poly(age, 2)1",2.64353435162464,NA,"CT right",0.01,"tvalue-poly(age, 2)1",2.6621393489163,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-poly(age, 2)1",2.91986189194537,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-poly(age, 2)1",2.83333243790417,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-poly(age, 2)1",2.63803226833794,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-poly(age, 2)1",2.64155998467255,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-poly(age, 2)1",2.88082047676274,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-poly(age, 2)1",2.82507432687406
"12",NA,"BSC left",0.05,"tvalue-poly(age, 2)1",2.55731802704688,NA,"BSC right",0.05,"tvalue-poly(age, 2)1",2.59361107704127,NA,"GWC left",0.05,"tvalue-poly(age, 2)1",2.03096838431815,NA,"GWC right",0.05,"tvalue-poly(age, 2)1",2.03148412872726,NA,"CT left",0.05,"tvalue-poly(age, 2)1",2.00094314042263,NA,"CT right",0.05,"tvalue-poly(age, 2)1",2.01355945026621,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-poly(age, 2)1",2.1928556162505,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-poly(age, 2)1",2.1573227551491,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-poly(age, 2)1",1.9909817894559,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-poly(age, 2)1",1.99566013260914,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-poly(age, 2)1",2.16806380099324,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-poly(age, 2)1",2.12887574617349
